Date,Away Team,Home Team,Player,Player Team,Extra Points Made,Extra Points Missed,Field Goals Made,Field Goals Missed
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Justin Tucker,Baltimore Ravens,2,0,2,1
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Jordan Stout,Baltimore Ravens,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Harrison Butker,Kansas City Chiefs,3,0,2,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Matt Araiza,Kansas City Chiefs,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Brayden Narveson,Green Bay Packers,2,0,3,1
2024-09-06,Green Bay Packers,Philadelphia Eagles,Daniel Whelan,Green Bay Packers,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Jake Elliott,Philadelphia Eagles,4,0,2,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Braden Mann,Philadelphia Eagles,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Matt Prater,Arizona Cardinals,2,0,2,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Blake Gillikin,Arizona Cardinals,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Tyler Bass,Buffalo Bills,4,0,2,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Sam Martin,Buffalo Bills,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Eddy Piñeiro,Carolina Panthers,1,0,1,0
2024-09-08,Carolina Panthers,New Orleans Saints,Johnny Hekker,Carolina Panthers,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Blake Grupe,New Orleans Saints,5,0,4,0
2024-09-08,Carolina Panthers,New Orleans Saints,Matthew Hayball,New Orleans Saints,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Brandon Aubrey,Dallas Cowboys,3,0,4,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Bryan Anger,Dallas Cowboys,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Dustin Hopkins,Cleveland Browns,2,0,1,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Corey Bojorquez,Cleveland Browns,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Wil Lutz,Denver Broncos,1,0,3,0
2024-09-08,Denver Broncos,Seattle Seahawks,Riley Dixon,Denver Broncos,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Jason Myers,Seattle Seahawks,2,0,2,0
2024-09-08,Denver Broncos,Seattle Seahawks,Michael Dickson,Seattle Seahawks,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Ka'imi Fairbairn,Houston Texans,2,0,3,0
2024-09-08,Houston Texans,Indianapolis Colts,Tommy Townsend,Houston Texans,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Spencer Shrader,Indianapolis Colts,3,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Rigoberto Sanchez,Indianapolis Colts,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Cam Little,Jacksonville Jaguars,2,0,1,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Logan Cooke,Jacksonville Jaguars,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Jason Sanders,Miami Dolphins,2,0,2,1
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Jake Bailey,Miami Dolphins,0,0,0,0
