Date,Away Team,Home Team,Player,Player Team,Kick Return TD,Punt Return TD
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Deonte Harty,Baltimore Ravens,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Mecole Hardman,Kansas City Chiefs,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Carson Steele,Kansas City Chiefs,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Keisean Nixon,Green Bay Packers,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Kenneth Gainwell,Philadelphia Eagles,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Greg Dortch,Arizona Cardinals,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,DeeJay Dallas,Arizona Cardinals,1,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Brandon Codrington,Buffalo Bills,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Raheem Blackshear,Carolina Panthers,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Xavier Legette,Carolina Panthers,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Rashid Shaheed,New Orleans Saints,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Cedrick Wilson Jr.,New Orleans Saints,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Jamaal Williams,New Orleans Saints,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,KaVontae Turpin,Dallas Cowboys,0,1
2024-09-08,Dallas Cowboys,Cleveland Browns,Jaelon Darden,Cleveland Browns,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Marvin Mims,Denver Broncos,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Dee Williams,Seattle Seahawks,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Laviska Shenault Jr.,Seattle Seahawks,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Anthony Gould,Indianapolis Colts,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Devin Duvernay,Jacksonville Jaguars,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Parker Washington,Jacksonville Jaguars,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Braxton Berrios,Miami Dolphins,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Tre Tucker,Las Vegas Raiders,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Ameer Abdullah,Las Vegas Raiders,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Derius Davis,Los Angeles Chargers,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Kyren Williams,Los Angeles Rams,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Jordan Whittington,Los Angeles Rams,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Kalif Raymond,Detroit Lions,0,0
2024-09-08,Minnesota Vikings,New York Giants,Brandon Powell,Minnesota Vikings,0,0
2024-09-08,Minnesota Vikings,New York Giants,Darius Slayton,New York Giants,0,0
2024-09-08,Minnesota Vikings,New York Giants,Eric Gray,New York Giants,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Marcus Jones,New England Patriots,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Jamycal Hasty,New England Patriots,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Charlie Jones,Cincinnati Bengals,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Calvin Austin III,Pittsburgh Steelers,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Avery Williams,Atlanta Falcons,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Jha'Quan Jackson,Tennessee Titans,0,0
2024-09-08,Tennessee Titans,Chicago Bears,DeAndre Carter,Chicago Bears,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Velus Jones Jr.,Chicago Bears,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Austin Ekeler,Washington Commanders,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Sean Tucker,Tampa Bay Buccaneers,0,0
