Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Lamar Jackson,Baltimore Ravens,273,1,0,0,0,0,122,0,1
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Derrick Henry,Baltimore Ravens,0,0,0,0,0,0,46,1,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Zay Flowers,Baltimore Ravens,0,0,0,6,37,0,14,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Justice Hill,Baltimore Ravens,0,0,0,6,52,0,3,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Isaiah Likely,Baltimore Ravens,0,0,0,9,111,1,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Rashod Bateman,Baltimore Ravens,0,0,0,2,53,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Mark Andrews,Baltimore Ravens,0,0,0,2,14,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Nelson Agholor,Baltimore Ravens,0,0,0,1,6,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,291,1,1,1,2,0,3,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Isiah Pacheco,Kansas City Chiefs,0,0,0,2,33,0,45,1,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,0,0,0,2,47,1,21,1,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Carson Steele,Kansas City Chiefs,0,0,0,0,0,0,3,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Rashee Rice,Kansas City Chiefs,0,0,0,7,103,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Noah Gray,Kansas City Chiefs,0,0,0,3,37,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Travis Kelce,Kansas City Chiefs,0,0,0,3,34,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Justin Watson,Kansas City Chiefs,0,0,0,1,25,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,Samaje Perine,Kansas City Chiefs,0,0,0,1,10,0,0,0,0
2024-09-05,Baltimore Ravens,Kansas City Chiefs,JuJu Smith-Schuster,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
