Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-06,Green Bay Packers,Philadelphia Eagles,Jordan Love,Green Bay Packers,260,2,1,0,0,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Malik Willis,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Josh Jacobs,Green Bay Packers,0,0,0,2,20,0,84,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Emanuel Wilson,Green Bay Packers,0,0,0,2,2,0,46,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Jayden Reed,Green Bay Packers,0,0,0,4,138,1,33,1,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Romeo Doubs,Green Bay Packers,0,0,0,4,50,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Tucker Kraft,Green Bay Packers,0,0,0,2,37,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Christian Watson,Green Bay Packers,0,0,0,3,13,1,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Dontayvion Wicks,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Luke Musgrave,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,278,2,2,0,0,0,33,0,1
2024-09-06,Green Bay Packers,Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,0,0,0,2,23,1,109,2,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Kenneth Gainwell,Philadelphia Eagles,0,0,0,1,10,0,2,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,A.J. Brown,Philadelphia Eagles,0,0,0,5,119,1,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,0,0,0,7,84,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Dallas Goedert,Philadelphia Eagles,0,0,0,4,31,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Grant Calcaterra,Philadelphia Eagles,0,0,0,1,11,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-09-06,Green Bay Packers,Philadelphia Eagles,Johnny Wilson,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
