Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Arizona Cardinals,Buffalo Bills,Kyler Murray,Arizona Cardinals,162,1,0,0,0,0,57,0,1
2024-09-08,Arizona Cardinals,Buffalo Bills,James Conner,Arizona Cardinals,0,0,0,3,33,0,50,1,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Trey Benson,Arizona Cardinals,0,0,0,1,5,0,13,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Greg Dortch,Arizona Cardinals,0,0,0,6,47,0,4,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Trey McBride,Arizona Cardinals,0,0,0,5,30,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Emari Demercado,Arizona Cardinals,0,0,0,2,26,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Elijah Higgins,Arizona Cardinals,0,0,0,2,12,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Michael Wilson,Arizona Cardinals,0,0,0,1,5,1,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,1,4,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Josh Allen,Buffalo Bills,232,2,0,0,0,0,39,2,1
2024-09-08,Arizona Cardinals,Buffalo Bills,James Cook,Buffalo Bills,0,0,0,3,32,0,71,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Ray Davis,Buffalo Bills,0,0,0,1,14,0,13,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,7,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Keon Coleman,Buffalo Bills,0,0,0,4,51,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Khalil Shakir,Buffalo Bills,0,0,0,3,42,1,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Mack Hollins,Buffalo Bills,0,0,0,2,25,1,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Dawson Knox,Buffalo Bills,0,0,0,1,23,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Marquez Valdes-Scantling,Buffalo Bills,0,0,0,1,19,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Curtis Samuel,Buffalo Bills,0,0,0,2,15,0,0,0,0
2024-09-08,Arizona Cardinals,Buffalo Bills,Dalton Kincaid,Buffalo Bills,0,0,0,1,11,0,0,0,0
