Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-08,Arizona Cardinals,Buffalo Bills,1,7:47,Arizona Cardinals,Michael Wilson 5 yard pass from Kyler Murray (Matt Prater kick),7,0
2024-09-08,Arizona Cardinals,Buffalo Bills,2,14:57,Arizona Cardinals,Matt Prater 29 yard field goal,10,0
2024-09-08,Arizona Cardinals,Buffalo Bills,2,9:47,Buffalo Bills,Tyler Bass 37 yard field goal,10,3
2024-09-08,Arizona Cardinals,Buffalo Bills,2,2:40,Arizona Cardinals,James Conner 3 yard rush (Matt Prater kick),17,3
2024-09-08,Arizona Cardinals,Buffalo Bills,2,0:19,Buffalo Bills,Josh Allen 7 yard rush (Tyler Bass kick),17,10
2024-09-08,Arizona Cardinals,Buffalo Bills,3,9:51,Buffalo Bills,Mack Hollins 11 yard pass from Josh Allen (Tyler Bass kick),17,17
2024-09-08,Arizona Cardinals,Buffalo Bills,3,2:37,Buffalo Bills,Khalil Shakir 11 yard pass from Josh Allen (Tyler Bass kick),17,24
2024-09-08,Arizona Cardinals,Buffalo Bills,4,13:32,Arizona Cardinals,Matt Prater 31 yard field goal,20,24
2024-09-08,Arizona Cardinals,Buffalo Bills,4,8:44,Buffalo Bills,Josh Allen 6 yard rush (Tyler Bass kick),20,31
2024-09-08,Arizona Cardinals,Buffalo Bills,4,8:31,Arizona Cardinals,DeeJay Dallas 96 yard kickoff return (James Conner run),28,31
2024-09-08,Arizona Cardinals,Buffalo Bills,4,1:56,Buffalo Bills,Tyler Bass 39 yard field goal,28,34
