Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Carolina Panthers,New Orleans Saints,Bryce Young,Carolina Panthers,161,0,2,0,0,0,12,1,0
2024-09-08,Carolina Panthers,New Orleans Saints,Andy Dalton,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Miles Sanders,Carolina Panthers,0,0,0,0,0,0,22,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Chuba Hubbard,Carolina Panthers,0,0,0,0,0,0,14,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Mike Boone,Carolina Panthers,0,0,0,0,0,0,7,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Jonathan Mingo,Carolina Panthers,0,0,0,2,40,0,3,0,1
2024-09-08,Carolina Panthers,New Orleans Saints,Adam Thielen,Carolina Panthers,0,0,0,3,49,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Xavier Legette,Carolina Panthers,0,0,0,4,35,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Diontae Johnson,Carolina Panthers,0,0,0,2,19,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,David Moore,Carolina Panthers,0,0,0,1,14,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Ja'Tavion Sanders,Carolina Panthers,0,0,0,1,4,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Jordan Matthews,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Derek Carr,New Orleans Saints,200,3,0,0,0,0,13,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Jake Haener,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Alvin Kamara,New Orleans Saints,0,0,0,5,27,0,83,1,0
2024-09-08,Carolina Panthers,New Orleans Saints,Jamaal Williams,New Orleans Saints,0,0,0,1,13,0,38,1,0
2024-09-08,Carolina Panthers,New Orleans Saints,Taysom Hill,New Orleans Saints,0,0,0,1,1,0,35,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Jordan Mims,New Orleans Saints,0,0,0,0,0,0,11,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Rashid Shaheed,New Orleans Saints,0,0,0,3,73,1,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Foster Moreau,New Orleans Saints,0,0,0,4,43,1,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Juwan Johnson,New Orleans Saints,0,0,0,2,26,1,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Chris Olave,New Orleans Saints,0,0,0,2,11,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Mason Tipton,New Orleans Saints,0,0,0,1,6,0,0,0,0
2024-09-08,Carolina Panthers,New Orleans Saints,Bub Means,New Orleans Saints,0,0,0,0,0,0,0,0,0
