Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-08,Carolina Panthers,New Orleans Saints,1,12:08,New Orleans Saints,Rashid Shaheed 59 yard pass from Derek Carr (Blake Grupe kick),0,7
2024-09-08,Carolina Panthers,New Orleans Saints,1,10:04,New Orleans Saints,Blake Grupe 57 yard field goal,0,10
2024-09-08,Carolina Panthers,New Orleans Saints,1,1:23,New Orleans Saints,Foster Moreau 3 yard pass from Derek Carr (Blake Grupe kick),0,17
2024-09-08,Carolina Panthers,New Orleans Saints,2,7:03,New Orleans Saints,Blake Grupe 44 yard field goal,0,20
2024-09-08,Carolina Panthers,New Orleans Saints,2,2:08,New Orleans Saints,Blake Grupe 52 yard field goal,0,23
2024-09-08,Carolina Panthers,New Orleans Saints,2,1:18,New Orleans Saints,Juwan Johnson 16 yard pass from Derek Carr (Blake Grupe kick),0,30
2024-09-08,Carolina Panthers,New Orleans Saints,2,0:00,Carolina Panthers,Eddy Piñeiro 43 yard field goal,3,30
2024-09-08,Carolina Panthers,New Orleans Saints,3,8:27,New Orleans Saints,Alvin Kamara 1 yard rush (Blake Grupe kick),3,37
2024-09-08,Carolina Panthers,New Orleans Saints,3,4:55,Carolina Panthers,Bryce Young 3 yard rush (Eddy Piñeiro kick),10,37
2024-09-08,Carolina Panthers,New Orleans Saints,4,13:08,New Orleans Saints,Blake Grupe 39 yard field goal,10,40
2024-09-08,Carolina Panthers,New Orleans Saints,4,10:38,New Orleans Saints,Jamaal Williams 14 yard rush (Blake Grupe kick),10,47
