Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Dallas Cowboys,Cleveland Browns,Dak Prescott,Dallas Cowboys,179,1,0,0,0,0,3,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Ezekiel Elliott,Dallas Cowboys,0,0,0,2,9,0,40,1,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Rico Dowdle,Dallas Cowboys,0,0,0,1,6,0,26,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,CeeDee Lamb,Dallas Cowboys,0,0,0,5,61,0,25,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Brandin Cooks,Dallas Cowboys,0,0,0,4,40,1,5,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Deuce Vaughn,Dallas Cowboys,0,0,0,0,0,0,4,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Jalen Brooks,Dallas Cowboys,0,0,0,1,18,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Hunter Luepke,Dallas Cowboys,0,0,0,2,18,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Jake Ferguson,Dallas Cowboys,0,0,0,3,15,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Jalen Tolbert,Dallas Cowboys,0,0,0,1,12,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,KaVontae Turpin,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Cooper Rush,Dallas Cowboys,0,0,0,0,0,0,-1,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Deshaun Watson,Cleveland Browns,169,1,2,0,0,0,39,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Jerome Ford,Cleveland Browns,0,0,0,6,25,0,44,1,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Pierre Strong,Cleveland Browns,0,0,0,2,20,0,10,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,David Njoku,Cleveland Browns,0,0,0,4,44,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Jordan Akins,Cleveland Browns,0,0,0,3,27,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Jerry Jeudy,Cleveland Browns,0,0,0,3,25,1,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Amari Cooper,Cleveland Browns,0,0,0,2,16,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Elijah Moore,Cleveland Browns,0,0,0,3,9,0,0,0,0
2024-09-08,Dallas Cowboys,Cleveland Browns,Cedric Tillman,Cleveland Browns,0,0,0,1,3,0,0,0,0
