Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-08,Dallas Cowboys,Cleveland Browns,1,9:23,Cleveland Browns,Dustin Hopkins 51 yard field goal,0,3
2024-09-08,Dallas Cowboys,Cleveland Browns,1,6:55,Dallas Cowboys,Brandin Cooks 21 yard pass from Dak Prescott (Brandon Aubrey kick),7,3
2024-09-08,Dallas Cowboys,Cleveland Browns,2,5:15,Dallas Cowboys,Ezekiel Elliott 3 yard rush (Brandon Aubrey kick),14,3
2024-09-08,Dallas Cowboys,Cleveland Browns,2,2:06,Dallas Cowboys,Brandon Aubrey 57 yard field goal,17,3
2024-09-08,Dallas Cowboys,Cleveland Browns,2,0:51,Dallas Cowboys,Brandon Aubrey 40 yard field goal,20,3
2024-09-08,Dallas Cowboys,Cleveland Browns,3,12:59,Dallas Cowboys,KaVontae Turpin 60 yard punt return (Brandon Aubrey kick),27,3
2024-09-08,Dallas Cowboys,Cleveland Browns,3,8:42,Cleveland Browns,Jerry Jeudy 6 yard pass from Deshaun Watson (Dustin Hopkins kick),27,10
2024-09-08,Dallas Cowboys,Cleveland Browns,3,1:27,Dallas Cowboys,Brandon Aubrey 50 yard field goal,30,10
2024-09-08,Dallas Cowboys,Cleveland Browns,4,11:51,Dallas Cowboys,Brandon Aubrey 46 yard field goal,33,10
2024-09-08,Dallas Cowboys,Cleveland Browns,4,0:29,Cleveland Browns,Jerome Ford 2 yard rush (Dustin Hopkins kick),33,17
