Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Denver Broncos,Seattle Seahawks,Bo Nix,Denver Broncos,138,0,2,0,0,0,35,1,0
2024-09-08,Denver Broncos,Seattle Seahawks,Jaleel McLaughlin,Denver Broncos,0,0,0,5,1,0,27,0,1
2024-09-08,Denver Broncos,Seattle Seahawks,Javonte Williams,Denver Broncos,0,0,0,1,0,0,23,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Audric Estime,Denver Broncos,0,0,0,0,0,0,14,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Josh Reynolds,Denver Broncos,0,0,0,5,45,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Devaughn Vele,Denver Broncos,0,0,0,8,39,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Courtland Sutton,Denver Broncos,0,0,0,4,38,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Greg Dulcich,Denver Broncos,0,0,0,2,12,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Michael Burton,Denver Broncos,0,0,0,1,3,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Lil'Jordan Humphrey,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Marvin Mims,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Adam Trautman,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Geno Smith,Seattle Seahawks,171,1,1,0,0,0,30,1,0
2024-09-08,Denver Broncos,Seattle Seahawks,Kenneth Walker III,Seattle Seahawks,0,0,0,2,6,0,103,1,0
2024-09-08,Denver Broncos,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,2,29,1,12,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Laviska Shenault Jr.,Seattle Seahawks,0,0,0,1,0,0,1,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,6,77,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,D.K. Metcalf,Seattle Seahawks,0,0,0,3,29,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,2,19,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Noah Fant,Seattle Seahawks,0,0,0,2,11,0,0,0,0
2024-09-08,Denver Broncos,Seattle Seahawks,Dareke Young,Seattle Seahawks,0,0,0,0,0,0,0,0,0
