Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-08,Denver Broncos,Seattle Seahawks,1,12:36,Denver Broncos,Wil Lutz 35 yard field goal,3,0
2024-09-08,Denver Broncos,Seattle Seahawks,1,2:41,Seattle Seahawks,Jason Myers 50 yard field goal,3,3
2024-09-08,Denver Broncos,Seattle Seahawks,2,11:22,Denver Broncos,"Safety, Anthony Bradford offensive holding in end zone",5,3
2024-09-08,Denver Broncos,Seattle Seahawks,2,8:45,Denver Broncos,Wil Lutz 30 yard field goal,8,3
2024-09-08,Denver Broncos,Seattle Seahawks,2,5:55,Seattle Seahawks,Geno Smith 34 yard rush (pass failed),8,9
2024-09-08,Denver Broncos,Seattle Seahawks,2,4:24,Denver Broncos,"Safety, Zach Charbonnet tackled in end zone by Jonathon Cooper and Zach Allen",10,9
2024-09-08,Denver Broncos,Seattle Seahawks,2,0:02,Denver Broncos,Wil Lutz 45 yard field goal,13,9
2024-09-08,Denver Broncos,Seattle Seahawks,3,10:44,Seattle Seahawks,Kenneth Walker III 23 yard rush (Jason Myers kick),13,16
2024-09-08,Denver Broncos,Seattle Seahawks,3,4:09,Seattle Seahawks,Jason Myers 28 yard field goal,13,19
2024-09-08,Denver Broncos,Seattle Seahawks,4,14:54,Seattle Seahawks,Zach Charbonnet 30 yard pass from Geno Smith (Jason Myers kick),13,26
2024-09-08,Denver Broncos,Seattle Seahawks,4,2:09,Denver Broncos,Bo Nix 4 yard rush (Wil Lutz kick),20,26
