Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Houston Texans,Indianapolis Colts,C.J. Stroud,Houston Texans,234,2,0,0,0,0,13,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Joe Mixon,Houston Texans,0,0,0,3,19,0,159,1,0
2024-09-08,Houston Texans,Indianapolis Colts,Tank Dell,Houston Texans,0,0,0,3,40,0,19,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Dameon Pierce,Houston Texans,0,0,0,0,0,0,16,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Stefon Diggs,Houston Texans,0,0,0,6,33,2,6,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Nico Collins,Houston Texans,0,0,0,6,117,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Dalton Schultz,Houston Texans,0,0,0,3,16,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Xavier Hutchinson,Houston Texans,0,0,0,1,3,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Brevin Jordan,Houston Texans,0,0,0,1,3,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Dare Ogunbowale,Houston Texans,0,0,0,1,3,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Anthony Richardson,Indianapolis Colts,212,2,1,0,0,0,56,1,0
2024-09-08,Houston Texans,Indianapolis Colts,Jonathan Taylor,Indianapolis Colts,0,0,0,0,0,0,48,1,0
2024-09-08,Houston Texans,Indianapolis Colts,Alec Pierce,Indianapolis Colts,0,0,0,3,125,1,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Ashton Dulin,Indianapolis Colts,0,0,0,1,54,1,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Michael Pittman Jr.,Indianapolis Colts,0,0,0,4,31,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Adonai Mitchell,Indianapolis Colts,0,0,0,1,2,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Kylen Granson,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-09-08,Houston Texans,Indianapolis Colts,Mo Alie-Cox,Indianapolis Colts,0,0,0,0,0,0,0,0,0
