Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-08,Houston Texans,Indianapolis Colts,1,6:44,Houston Texans,Ka'imi Fairbairn 51 yard field goal,3,0
2024-09-08,Houston Texans,Indianapolis Colts,1,5:12,Indianapolis Colts,Alec Pierce 60 yard pass from Anthony Richardson (Spencer Shrader kick),3,7
2024-09-08,Houston Texans,Indianapolis Colts,1,1:37,Houston Texans,Ka'imi Fairbairn 50 yard field goal,6,7
2024-09-08,Houston Texans,Indianapolis Colts,2,11:31,Houston Texans,Stefon Diggs 9 yard pass from C.J. Stroud (run failed),12,7
2024-09-08,Houston Texans,Indianapolis Colts,3,10:55,Houston Texans,Ka'imi Fairbairn 51 yard field goal,15,7
2024-09-08,Houston Texans,Indianapolis Colts,3,5:40,Indianapolis Colts,Jonathan Taylor 5 yard rush (run failed),15,13
2024-09-08,Houston Texans,Indianapolis Colts,4,13:41,Houston Texans,Joe Mixon 3 yard rush (Ka'imi Fairbairn kick),22,13
2024-09-08,Houston Texans,Indianapolis Colts,4,12:12,Indianapolis Colts,Ashton Dulin 54 yard pass from Anthony Richardson (Spencer Shrader kick),22,20
2024-09-08,Houston Texans,Indianapolis Colts,4,4:42,Houston Texans,Stefon Diggs 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),29,20
2024-09-08,Houston Texans,Indianapolis Colts,4,2:14,Indianapolis Colts,Anthony Richardson 3 yard rush (Spencer Shrader kick),29,27
