Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Trevor Lawrence,Jacksonville Jaguars,162,1,0,0,0,0,8,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,73,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Travis Etienne,Jacksonville Jaguars,0,0,0,2,15,0,44,1,1
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Devin Duvernay,Jacksonville Jaguars,0,0,0,0,0,0,3,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Gabriel Davis,Jacksonville Jaguars,0,0,0,3,62,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Brian Thomas,Jacksonville Jaguars,0,0,0,4,47,1,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Christian Kirk,Jacksonville Jaguars,0,0,0,1,30,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Evan Engram,Jacksonville Jaguars,0,0,0,1,5,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Parker Washington,Jacksonville Jaguars,0,0,0,1,3,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Tua Tagovailoa,Miami Dolphins,338,1,0,0,0,0,11,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Jeff Wilson,Miami Dolphins,0,0,0,0,0,0,26,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,De'Von Achane,Miami Dolphins,0,0,0,7,76,0,24,1,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Raheem Mostert,Miami Dolphins,0,0,0,2,10,0,9,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Alec Ingold,Miami Dolphins,0,0,0,0,0,0,8,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Jaylen Waddle,Miami Dolphins,0,0,0,5,109,0,3,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0,0,7,130,1,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Jonnu Smith,Miami Dolphins,0,0,0,1,7,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Julian Hill,Miami Dolphins,0,0,0,1,6,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Durham Smythe,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-09-08,Jacksonville Jaguars,Miami Dolphins,Braxton Berrios,Miami Dolphins,0,0,0,0,0,0,0,0,0
