Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Gardner Minshew II,Las Vegas Raiders,257,1,1,0,0,0,5,0,1
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Zamir White,Las Vegas Raiders,0,0,0,2,2,0,44,0,1
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Alexander Mattison,Las Vegas Raiders,0,0,0,4,43,1,19,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Jakobi Meyers,Las Vegas Raiders,0,0,0,3,61,0,3,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Davante Adams,Las Vegas Raiders,0,0,0,5,59,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Brock Bowers,Las Vegas Raiders,0,0,0,6,58,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Tre Tucker,Las Vegas Raiders,0,0,0,2,22,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,DJ Turner,Las Vegas Raiders,0,0,0,1,9,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Michael Mayer,Las Vegas Raiders,0,0,0,2,3,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Justin Herbert,Los Angeles Chargers,144,1,0,0,0,0,6,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,J.K. Dobbins,Los Angeles Chargers,0,0,0,3,4,0,135,1,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Gus Edwards,Los Angeles Chargers,0,0,0,1,2,0,26,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Derius Davis,Los Angeles Chargers,0,0,0,0,0,0,9,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Ladd McConkey,Los Angeles Chargers,0,0,0,5,39,1,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Quentin Johnston,Los Angeles Chargers,0,0,0,3,38,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Hayden Hurst,Los Angeles Chargers,0,0,0,2,33,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Josh Palmer,Los Angeles Chargers,0,0,0,2,15,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Will Dissly,Los Angeles Chargers,0,0,0,1,13,0,0,0,0
2024-09-08,Las Vegas Raiders,Los Angeles Chargers,Scott Matlock,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
