Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Los Angeles Rams,Detroit Lions,Matthew Stafford,Los Angeles Rams,317,1,1,0,0,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Kyren Williams,Los Angeles Rams,0,0,0,3,4,0,50,1,0
2024-09-08,Los Angeles Rams,Detroit Lions,Ronnie Rivers,Los Angeles Rams,0,0,0,0,0,0,16,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Cooper Kupp,Los Angeles Rams,0,0,0,14,110,1,10,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Puka Nacua,Los Angeles Rams,0,0,0,4,35,0,7,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Tyler Johnson,Los Angeles Rams,0,0,0,5,79,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Colby Parkinson,Los Angeles Rams,0,0,0,4,47,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Demarcus Robinson,Los Angeles Rams,0,0,0,4,42,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Davis Allen,Los Angeles Rams,0,0,0,0,0,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Jared Goff,Detroit Lions,217,1,1,0,0,0,7,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,David Montgomery,Detroit Lions,0,0,0,1,2,0,91,1,0
2024-09-08,Los Angeles Rams,Detroit Lions,Jahmyr Gibbs,Detroit Lions,0,0,0,4,34,0,40,1,0
2024-09-08,Los Angeles Rams,Detroit Lions,Jameson Williams,Detroit Lions,0,0,0,5,121,1,13,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Kalif Raymond,Detroit Lions,0,0,0,0,0,0,12,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Sam LaPorta,Detroit Lions,0,0,0,4,45,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Amon-Ra St. Brown,Detroit Lions,0,0,0,3,13,0,0,0,0
2024-09-08,Los Angeles Rams,Detroit Lions,Brock Wright,Detroit Lions,0,0,0,1,2,0,0,0,0
