Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,New England Patriots,Cincinnati Bengals,Jacoby Brissett,New England Patriots,121,0,0,0,0,0,32,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Rhamondre Stevenson,New England Patriots,0,0,0,3,6,0,120,1,0
2024-09-08,New England Patriots,Cincinnati Bengals,Antonio Gibson,New England Patriots,0,0,0,0,0,0,18,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Austin Hooper,New England Patriots,0,0,0,2,31,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Tyquan Thornton,New England Patriots,0,0,0,2,27,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,K.J. Osborn,New England Patriots,0,0,0,3,21,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Hunter Henry,New England Patriots,0,0,0,2,18,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Demario Douglas,New England Patriots,0,0,0,2,12,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Ja'Lynn Polk,New England Patriots,0,0,0,1,6,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Joe Burrow,Cincinnati Bengals,164,0,0,0,0,0,15,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Zack Moss,Cincinnati Bengals,0,0,0,2,17,0,44,1,0
2024-09-08,New England Patriots,Cincinnati Bengals,Chase Brown,Cincinnati Bengals,0,0,0,3,12,0,11,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Ja'Marr Chase,Cincinnati Bengals,0,0,0,6,62,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,0,0,0,3,26,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Tanner Hudson,Cincinnati Bengals,0,0,0,2,18,0,0,0,1
2024-09-08,New England Patriots,Cincinnati Bengals,Mike Gesicki,Cincinnati Bengals,0,0,0,3,18,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Trenton Irwin,Cincinnati Bengals,0,0,0,1,6,0,0,0,0
2024-09-08,New England Patriots,Cincinnati Bengals,Charlie Jones,Cincinnati Bengals,0,0,0,1,5,0,0,0,1
