Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Justin Fields,Pittsburgh Steelers,156,0,0,0,0,0,57,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Najee Harris,Pittsburgh Steelers,0,0,0,1,9,0,70,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,0,0,0,13,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Jaylen Warren,Pittsburgh Steelers,0,0,0,2,13,0,7,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Pat Freiermuth,Pittsburgh Steelers,0,0,0,4,27,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,MyCole Pruitt,Pittsburgh Steelers,0,0,0,1,9,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Calvin Austin III,Pittsburgh Steelers,0,0,0,1,7,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Darnell Washington,Pittsburgh Steelers,0,0,0,1,5,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Van Jefferson,Pittsburgh Steelers,0,0,0,1,1,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,George Pickens,Pittsburgh Steelers,0,0,0,6,85,0,-10,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Kirk Cousins,Atlanta Falcons,155,1,2,0,0,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Bijan Robinson,Atlanta Falcons,0,0,0,5,43,0,68,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,0,0,0,0,0,0,21,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0,0,4,52,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Kyle Pitts,Atlanta Falcons,0,0,0,3,26,1,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Darnell Mooney,Atlanta Falcons,0,0,0,1,15,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Drake London,Atlanta Falcons,0,0,0,2,15,0,0,0,0
2024-09-08,Pittsburgh Steelers,Atlanta Falcons,Charlie Woerner,Atlanta Falcons,0,0,0,1,4,0,0,0,0
