Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Tennessee Titans,Chicago Bears,Will Levis,Tennessee Titans,127,1,2,0,0,0,36,0,1
2024-09-08,Tennessee Titans,Chicago Bears,Tony Pollard,Tennessee Titans,0,0,0,3,12,0,82,1,0
2024-09-08,Tennessee Titans,Chicago Bears,Tyjae Spears,Tennessee Titans,0,0,0,4,11,0,21,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Treylon Burks,Tennessee Titans,0,0,0,1,2,0,1,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Calvin Ridley,Tennessee Titans,0,0,0,3,50,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Tyler Boyd,Tennessee Titans,0,0,0,3,18,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Chigoziem Okonkwo,Tennessee Titans,0,0,0,2,15,1,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Nick Vannett,Tennessee Titans,0,0,0,2,11,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,DeAndre Hopkins,Tennessee Titans,0,0,0,1,8,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Caleb Williams,Chicago Bears,93,0,0,0,0,0,15,0,0
2024-09-08,Tennessee Titans,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,0,0,0,30,0,0
2024-09-08,Tennessee Titans,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,5,36,0,14,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Velus Jones Jr.,Chicago Bears,0,0,0,1,8,0,11,0,1
2024-09-08,Tennessee Titans,Chicago Bears,Travis Homer,Chicago Bears,0,0,0,0,0,0,10,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Khalil Herbert,Chicago Bears,0,0,0,0,0,0,4,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,4,29,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,1,11,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,DeAndre Carter,Chicago Bears,0,0,0,1,6,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,1,4,0,0,0,0
2024-09-08,Tennessee Titans,Chicago Bears,Gerald Everett,Chicago Bears,0,0,0,1,-1,0,0,0,0
