Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Jayden Daniels,Washington Commanders,184,0,0,0,0,0,88,2,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Brian Robinson Jr.,Washington Commanders,0,0,0,3,49,0,40,1,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Austin Ekeler,Washington Commanders,0,0,0,4,52,0,10,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Zach Ertz,Washington Commanders,0,0,0,3,28,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Luke McCaffrey,Washington Commanders,0,0,0,3,18,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Terry McLaurin,Washington Commanders,0,0,0,2,17,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Olamide Zaccheaus,Washington Commanders,0,0,0,1,15,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Jamison Crowder,Washington Commanders,0,0,0,1,5,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,John Bates,Washington Commanders,0,0,0,0,0,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,289,4,0,0,0,0,21,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,0,0,0,2,14,0,62,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Rachaad White,Tampa Bay Buccaneers,0,0,0,6,75,0,31,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Chris Godwin,Tampa Bay Buccaneers,0,0,0,8,83,1,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Mike Evans,Tampa Bay Buccaneers,0,0,0,5,61,2,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,1,32,1,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0,0,1,19,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,0,0,0,1,5,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Kameron Johnson,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,Kyle Trask,Tampa Bay Buccaneers,0,0,0,0,0,0,-2,0,0
