Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,1,11:34,Tampa Bay Buccaneers,Chase McLaughlin 56 yard field goal,0,3
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,1,5:08,Tampa Bay Buccaneers,Chase McLaughlin 34 yard field goal,0,6
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,2,10:53,Tampa Bay Buccaneers,Mike Evans 17 yard pass from Baker Mayfield (Chase McLaughlin kick),0,13
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,2,7:17,Washington Commanders,Brian Robinson Jr. 7 yard rush (Cade York kick),7,13
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,2,0:16,Tampa Bay Buccaneers,Chase McLaughlin 29 yard field goal,7,16
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,3,7:11,Tampa Bay Buccaneers,Chris Godwin 4 yard pass from Baker Mayfield (Chase McLaughlin kick),7,23
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,3,1:52,Washington Commanders,Jayden Daniels 1 yard rush (Cade York kick),14,23
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,4,14:55,Tampa Bay Buccaneers,Jalen McMillan 32 yard pass from Baker Mayfield (Chase McLaughlin kick),14,30
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,4,3:29,Tampa Bay Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),14,37
2024-09-08,Washington Commanders,Tampa Bay Buccaneers,4,1:12,Washington Commanders,Jayden Daniels 1 yard rush (pass failed),20,37
