Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-09,New York Jets,San Francisco 49ers,Aaron Rodgers,New York Jets,167,1,1,0,0,0,-1,0,0
2024-09-09,New York Jets,San Francisco 49ers,Tyrod Taylor,New York Jets,36,1,0,0,0,0,7,0,0
2024-09-09,New York Jets,San Francisco 49ers,Breece Hall,New York Jets,0,0,0,5,39,0,54,1,1
2024-09-09,New York Jets,San Francisco 49ers,Braelon Allen,New York Jets,0,0,0,1,9,0,8,0,0
2024-09-09,New York Jets,San Francisco 49ers,Allen Lazard,New York Jets,0,0,0,6,89,2,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Garrett Wilson,New York Jets,0,0,0,6,60,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Tyler Conklin,New York Jets,0,0,0,1,6,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Brock Purdy,San Francisco 49ers,231,0,0,0,0,0,11,0,0
2024-09-09,New York Jets,San Francisco 49ers,Deebo Samuel,San Francisco 49ers,0,0,0,5,54,0,23,1,0
2024-09-09,New York Jets,San Francisco 49ers,Jordan Mason,San Francisco 49ers,0,0,0,1,5,0,147,1,0
2024-09-09,New York Jets,San Francisco 49ers,Jauan Jennings,San Francisco 49ers,0,0,0,5,64,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Kyle Juszczyk,San Francisco 49ers,0,0,0,2,40,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,George Kittle,San Francisco 49ers,0,0,0,4,40,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Brandon Aiyuk,San Francisco 49ers,0,0,0,2,28,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Eric Saubert,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-09-09,New York Jets,San Francisco 49ers,Brandon Allen,San Francisco 49ers,0,0,0,0,0,0,-1,0,0
