Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-09,New York Jets,San Francisco 49ers,1,10:58,San Francisco 49ers,Jake Moody 46 yard field goal,0,3
2024-09-09,New York Jets,San Francisco 49ers,1,3:51,New York Jets,Breece Hall 3 yard rush (Greg Zuerlein kick),7,3
2024-09-09,New York Jets,San Francisco 49ers,2,14:04,San Francisco 49ers,Jake Moody 51 yard field goal,7,6
2024-09-09,New York Jets,San Francisco 49ers,2,6:54,San Francisco 49ers,Deebo Samuel 2 yard rush (Jake Moody kick),7,13
2024-09-09,New York Jets,San Francisco 49ers,2,0:04,San Francisco 49ers,Jake Moody 31 yard field goal,7,16
2024-09-09,New York Jets,San Francisco 49ers,3,7:42,San Francisco 49ers,Jordan Mason 5 yard rush (Jake Moody kick),7,23
2024-09-09,New York Jets,San Francisco 49ers,3,3:28,San Francisco 49ers,Jake Moody 53 yard field goal,7,26
2024-09-09,New York Jets,San Francisco 49ers,3,1:39,New York Jets,Allen Lazard 36 yard pass from Aaron Rodgers (run failed),13,26
2024-09-09,New York Jets,San Francisco 49ers,4,9:43,San Francisco 49ers,Jake Moody 23 yard field goal,13,29
2024-09-09,New York Jets,San Francisco 49ers,4,4:20,San Francisco 49ers,Jake Moody 42 yard field goal,13,32
2024-09-09,New York Jets,San Francisco 49ers,4,0:25,New York Jets,Allen Lazard 3 yard pass from Tyrod Taylor (pass failed),19,32
