Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-12,Buffalo Bills,Miami Dolphins,Josh Allen,Buffalo Bills,139,1,0,0,0,0,2,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,James Cook,Buffalo Bills,0,0,0,1,17,1,78,2,0
2024-09-12,Buffalo Bills,Miami Dolphins,Ray Davis,Buffalo Bills,0,0,0,1,-1,0,29,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Khalil Shakir,Buffalo Bills,0,0,0,5,54,0,2,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Dalton Kincaid,Buffalo Bills,0,0,0,4,33,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Curtis Samuel,Buffalo Bills,0,0,0,1,3,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Marquez Valdes-Scantling,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Keon Coleman,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Mack Hollins,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Ty Johnson,Buffalo Bills,0,0,0,1,33,0,-1,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Mitchell Trubisky,Buffalo Bills,0,0,0,0,0,0,-2,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Tua Tagovailoa,Miami Dolphins,145,1,3,0,0,0,17,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Skylar Thompson,Miami Dolphins,80,0,0,0,0,0,4,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,De'Von Achane,Miami Dolphins,0,0,0,7,69,1,96,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0,0,3,24,0,12,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Jaylen Waddle,Miami Dolphins,0,0,0,4,41,0,4,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,4,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Alec Ingold,Miami Dolphins,0,0,0,0,0,0,2,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Jonnu Smith,Miami Dolphins,0,0,0,6,53,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Grant Dubose,Miami Dolphins,0,0,0,1,13,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Jeff Wilson,Miami Dolphins,0,0,0,2,12,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Durham Smythe,Miami Dolphins,0,0,0,1,8,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Robbie Chosen,Miami Dolphins,0,0,0,1,5,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Julian Hill,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-09-12,Buffalo Bills,Miami Dolphins,Braxton Berrios,Miami Dolphins,0,0,0,0,0,0,0,0,0
