Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Chicago Bears,Houston Texans,Caleb Williams,Chicago Bears,174,0,2,0,0,0,44,0,0
2024-09-15,Chicago Bears,Houston Texans,D'Andre Swift,Chicago Bears,0,0,0,4,24,0,18,0,0
2024-09-15,Chicago Bears,Houston Texans,Travis Homer,Chicago Bears,0,0,0,0,0,0,6,0,0
2024-09-15,Chicago Bears,Houston Texans,Khalil Herbert,Chicago Bears,0,0,0,2,4,0,3,1,0
2024-09-15,Chicago Bears,Houston Texans,D.J. Moore,Chicago Bears,0,0,0,6,53,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Rome Odunze,Chicago Bears,0,0,0,2,33,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,DeAndre Carter,Chicago Bears,0,0,0,3,32,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Cole Kmet,Chicago Bears,0,0,0,4,27,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Gerald Everett,Chicago Bears,0,0,0,2,1,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,C.J. Stroud,Houston Texans,260,1,0,0,0,0,-1,0,0
2024-09-15,Chicago Bears,Houston Texans,Cam Akers,Houston Texans,0,0,0,1,3,0,32,0,1
2024-09-15,Chicago Bears,Houston Texans,Joe Mixon,Houston Texans,0,0,0,3,25,0,25,0,0
2024-09-15,Chicago Bears,Houston Texans,Tank Dell,Houston Texans,0,0,0,1,-3,0,16,0,0
2024-09-15,Chicago Bears,Houston Texans,Dare Ogunbowale,Houston Texans,0,0,0,2,20,0,3,0,0
2024-09-15,Chicago Bears,Houston Texans,Nico Collins,Houston Texans,0,0,0,8,135,1,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Stefon Diggs,Houston Texans,0,0,0,4,37,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Dalton Schultz,Houston Texans,0,0,0,2,21,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Cade Stover,Houston Texans,0,0,0,1,18,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Brevin Jordan,Houston Texans,0,0,0,1,4,0,0,0,0
2024-09-15,Chicago Bears,Houston Texans,Xavier Hutchinson,Houston Texans,0,0,0,0,0,0,0,0,0
