Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Joe Burrow,Cincinnati Bengals,258,2,0,0,0,0,9,0,1
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Zack Moss,Cincinnati Bengals,0,0,0,1,13,0,34,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Chase Brown,Cincinnati Bengals,0,0,0,0,0,0,31,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Mike Gesicki,Cincinnati Bengals,0,0,0,7,91,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Jermaine Burton,Cincinnati Bengals,0,0,0,1,47,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Ja'Marr Chase,Cincinnati Bengals,0,0,0,4,35,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Erick All,Cincinnati Bengals,0,0,0,4,32,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Drew Sample,Cincinnati Bengals,0,0,0,3,28,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Andrei Iosivas,Cincinnati Bengals,0,0,0,2,7,2,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Trenton Irwin,Cincinnati Bengals,0,0,0,1,5,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,151,2,2,0,0,0,29,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Isiah Pacheco,Kansas City Chiefs,0,0,0,5,21,0,90,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Carson Steele,Kansas City Chiefs,0,0,0,0,0,0,24,0,1
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,0,0,0,2,17,0,5,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Travis Kelce,Kansas City Chiefs,0,0,0,1,5,0,1,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Rashee Rice,Kansas City Chiefs,0,0,0,5,75,1,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Justin Watson,Kansas City Chiefs,0,0,0,2,22,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Jared Wiley,Kansas City Chiefs,0,0,0,1,7,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Samaje Perine,Kansas City Chiefs,0,0,0,1,3,0,0,0,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,Wanya Morris,Kansas City Chiefs,0,0,0,1,1,1,0,0,0
