Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,1,10:41,Cincinnati Bengals,Evan McPherson 22 yard field goal,3,0
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,1,2:11,Kansas City Chiefs,Harrison Butker 19 yard field goal,3,3
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,2,12:04,Cincinnati Bengals,Andrei Iosivas 4 yard pass from Joe Burrow (Evan McPherson kick),10,3
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,2,8:50,Kansas City Chiefs,Rashee Rice 44 yard pass from Patrick Mahomes (Harrison Butker kick),10,10
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,2,4:19,Cincinnati Bengals,Evan McPherson 33 yard field goal,13,10
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,2,1:33,Cincinnati Bengals,Evan McPherson 48 yard field goal,16,10
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,3,8:21,Kansas City Chiefs,Wanya Morris 1 yard pass from Patrick Mahomes (Harrison Butker kick),16,17
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,3,2:16,Cincinnati Bengals,Andrei Iosivas 3 yard pass from Joe Burrow (Evan McPherson kick failed),22,17
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,4,14:40,Kansas City Chiefs,Chamarri Conner 38 yard fumble return (pass failed),22,23
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,4,9:28,Cincinnati Bengals,Evan McPherson 53 yard field goal,25,23
2024-09-15,Cincinnati Bengals,Kansas City Chiefs,4,0:00,Kansas City Chiefs,Harrison Butker 51 yard field goal,25,26
