Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Deshaun Watson,Cleveland Browns,186,0,0,0,0,0,20,1,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Jerome Ford,Cleveland Browns,0,0,0,1,0,0,64,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,D'Onta Foreman,Cleveland Browns,0,0,0,1,9,0,42,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Jameis Winston,Cleveland Browns,0,0,0,0,0,0,4,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Jerry Jeudy,Cleveland Browns,0,0,0,5,73,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Elijah Moore,Cleveland Browns,0,0,0,6,44,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,David Bell,Cleveland Browns,0,0,0,3,27,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Amari Cooper,Cleveland Browns,0,0,0,3,11,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Jordan Akins,Cleveland Browns,0,0,0,1,10,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Cedric Tillman,Cleveland Browns,0,0,0,1,2,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Pierre Strong,Cleveland Browns,0,0,0,1,10,0,-5,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Trevor Lawrence,Jacksonville Jaguars,220,0,0,0,0,0,45,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Travis Etienne,Jacksonville Jaguars,0,0,0,3,6,0,52,1,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,0,0,0,26,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Devin Duvernay,Jacksonville Jaguars,0,0,0,0,0,0,4,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Brian Thomas,Jacksonville Jaguars,0,0,0,2,94,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Brenton Strange,Jacksonville Jaguars,0,0,0,3,65,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Gabriel Davis,Jacksonville Jaguars,0,0,0,3,43,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Luke Farrell,Jacksonville Jaguars,0,0,0,2,13,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Parker Washington,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0
2024-09-15,Cleveland Browns,Jacksonville Jaguars,Christian Kirk,Jacksonville Jaguars,0,0,0,1,-1,0,0,0,0
