Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Indianapolis Colts,Green Bay Packers,Anthony Richardson,Indianapolis Colts,204,1,3,0,0,0,37,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Jonathan Taylor,Indianapolis Colts,0,0,0,2,32,0,103,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Alec Pierce,Indianapolis Colts,0,0,0,5,56,1,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Adonai Mitchell,Indianapolis Colts,0,0,0,1,30,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Mo Alie-Cox,Indianapolis Colts,0,0,0,1,22,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Michael Pittman Jr.,Indianapolis Colts,0,0,0,3,21,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Ashton Dulin,Indianapolis Colts,0,0,0,1,13,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Andrew Ogletree,Indianapolis Colts,0,0,0,1,12,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Kylen Granson,Indianapolis Colts,0,0,0,1,9,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Trey Sermon,Indianapolis Colts,0,0,0,1,7,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Tyler Goodson,Indianapolis Colts,0,0,0,1,2,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Malik Willis,Green Bay Packers,122,1,0,0,0,0,41,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Josh Jacobs,Green Bay Packers,0,0,0,0,0,0,151,0,1
2024-09-15,Indianapolis Colts,Green Bay Packers,Jayden Reed,Green Bay Packers,0,0,0,2,9,0,37,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,MarShawn Lloyd,Green Bay Packers,0,0,0,1,3,0,15,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Emanuel Wilson,Green Bay Packers,0,0,0,0,0,0,9,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Bo Melton,Green Bay Packers,0,0,0,0,0,0,8,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Romeo Doubs,Green Bay Packers,0,0,0,3,62,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Dontayvion Wicks,Green Bay Packers,0,0,0,3,26,1,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Tucker Kraft,Green Bay Packers,0,0,0,2,16,0,0,0,0
2024-09-15,Indianapolis Colts,Green Bay Packers,Luke Musgrave,Green Bay Packers,0,0,0,1,6,0,0,0,0
