Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Gardner Minshew II,Las Vegas Raiders,276,1,1,0,0,0,-1,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Zamir White,Las Vegas Raiders,0,0,0,3,14,0,24,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,DJ Turner,Las Vegas Raiders,0,0,0,0,0,0,2,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Ameer Abdullah,Las Vegas Raiders,0,0,0,2,1,0,1,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Alexander Mattison,Las Vegas Raiders,0,0,0,0,0,0,1,1,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Davante Adams,Las Vegas Raiders,0,0,0,9,110,1,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Brock Bowers,Las Vegas Raiders,0,0,0,9,98,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Jakobi Meyers,Las Vegas Raiders,0,0,0,4,29,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Tre Tucker,Las Vegas Raiders,0,0,0,2,13,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Michael Mayer,Las Vegas Raiders,0,0,0,1,11,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Harrison Bryant,Las Vegas Raiders,0,0,0,0,0,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Lamar Jackson,Baltimore Ravens,247,1,1,0,0,0,45,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Derrick Henry,Baltimore Ravens,0,0,0,1,12,0,84,1,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Justice Hill,Baltimore Ravens,0,0,0,2,10,0,22,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Zay Flowers,Baltimore Ravens,0,0,0,7,91,1,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Mark Andrews,Baltimore Ravens,0,0,0,4,51,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Rashod Bateman,Baltimore Ravens,0,0,0,3,40,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Isaiah Likely,Baltimore Ravens,0,0,0,2,26,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Nelson Agholor,Baltimore Ravens,0,0,0,1,13,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Charlie Kolar,Baltimore Ravens,0,0,0,1,4,0,0,0,0
2024-09-15,Las Vegas Raiders,Baltimore Ravens,Patrick Ricard,Baltimore Ravens,0,0,0,0,0,0,0,0,0
