Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Los Angeles Chargers,Carolina Panthers,Justin Herbert,Los Angeles Chargers,130,2,1,0,0,0,18,0,1
2024-09-15,Los Angeles Chargers,Carolina Panthers,J.K. Dobbins,Los Angeles Chargers,0,0,0,1,0,0,131,1,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Gus Edwards,Los Angeles Chargers,0,0,0,0,0,0,59,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Hassan Haskins,Los Angeles Chargers,0,0,0,0,0,0,11,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Quentin Johnston,Los Angeles Chargers,0,0,0,5,51,2,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Will Dissly,Los Angeles Chargers,0,0,0,3,29,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Ladd McConkey,Los Angeles Chargers,0,0,0,2,26,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Josh Palmer,Los Angeles Chargers,0,0,0,2,19,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Hayden Hurst,Los Angeles Chargers,0,0,0,1,5,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Eric Tomlinson,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Bryce Young,Carolina Panthers,84,0,1,0,0,0,6,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Chuba Hubbard,Carolina Panthers,0,0,0,4,12,0,64,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Miles Sanders,Carolina Panthers,0,0,0,3,5,0,20,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Tommy Tremble,Carolina Panthers,0,0,0,3,23,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Adam Thielen,Carolina Panthers,0,0,0,2,20,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Diontae Johnson,Carolina Panthers,0,0,0,3,15,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Ja'Tavion Sanders,Carolina Panthers,0,0,0,2,8,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,Jonathan Mingo,Carolina Panthers,0,0,0,1,1,0,0,0,0
2024-09-15,Los Angeles Chargers,Carolina Panthers,David Moore,Carolina Panthers,0,0,0,0,0,0,0,0,0
