Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Los Angeles Rams,Arizona Cardinals,Matthew Stafford,Los Angeles Rams,216,0,0,0,0,0,0,0,1
2024-09-15,Los Angeles Rams,Arizona Cardinals,Blake Corum,Los Angeles Rams,0,0,0,0,0,0,28,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Kyren Williams,Los Angeles Rams,0,0,0,4,27,0,25,1,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Demarcus Robinson,Los Angeles Rams,0,0,0,2,50,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Tutu Atwell,Los Angeles Rams,0,0,0,3,48,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Cooper Kupp,Los Angeles Rams,0,0,0,4,37,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Jordan Whittington,Los Angeles Rams,0,0,0,2,22,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Tyler Johnson,Los Angeles Rams,0,0,0,2,20,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Colby Parkinson,Los Angeles Rams,0,0,0,1,12,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Ronnie Rivers,Los Angeles Rams,0,0,0,1,0,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Kyler Murray,Arizona Cardinals,266,3,0,0,0,0,59,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,James Conner,Arizona Cardinals,0,0,0,1,2,0,122,1,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Emari Demercado,Arizona Cardinals,0,0,0,0,0,0,46,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Trey Benson,Arizona Cardinals,0,0,0,1,7,0,10,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,4,130,2,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Trey McBride,Arizona Cardinals,0,0,0,6,67,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Michael Wilson,Arizona Cardinals,0,0,0,2,31,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Elijah Higgins,Arizona Cardinals,0,0,0,1,18,1,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Greg Dortch,Arizona Cardinals,0,0,0,2,11,0,0,0,0
2024-09-15,Los Angeles Rams,Arizona Cardinals,Clayton Tune,Arizona Cardinals,0,0,0,0,0,0,-6,0,1
