Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,New Orleans Saints,Dallas Cowboys,Derek Carr,New Orleans Saints,243,2,1,0,0,0,1,1,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Alvin Kamara,New Orleans Saints,0,0,0,2,65,1,115,3,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Jamaal Williams,New Orleans Saints,0,0,0,0,0,0,39,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Taysom Hill,New Orleans Saints,0,0,0,1,1,0,18,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Rashid Shaheed,New Orleans Saints,0,0,0,4,96,1,13,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Chris Olave,New Orleans Saints,0,0,0,4,81,0,7,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Adam Prentice,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Jake Haener,New Orleans Saints,0,0,0,0,0,0,-3,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Dak Prescott,Dallas Cowboys,293,1,2,0,0,0,12,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Cooper Rush,Dallas Cowboys,6,0,0,0,0,0,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Rico Dowdle,Dallas Cowboys,0,0,0,4,29,0,30,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Ezekiel Elliott,Dallas Cowboys,0,0,0,2,16,0,16,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Deuce Vaughn,Dallas Cowboys,0,0,0,1,6,0,11,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,KaVontae Turpin,Dallas Cowboys,0,0,0,2,4,0,2,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,CeeDee Lamb,Dallas Cowboys,0,0,0,4,90,1,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Jalen Tolbert,Dallas Cowboys,0,0,0,6,82,0,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Luke Schoonmaker,Dallas Cowboys,0,0,0,6,43,0,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Jalen Brooks,Dallas Cowboys,0,0,0,1,10,0,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Brevyn Spann-Ford,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-09-15,New Orleans Saints,Dallas Cowboys,Brandin Cooks,Dallas Cowboys,0,0,0,2,19,0,-3,0,0
