Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-15,New Orleans Saints,Dallas Cowboys,1,10:50,New Orleans Saints,Alvin Kamara 5 yard rush (Blake Grupe kick),7,0
2024-09-15,New Orleans Saints,Dallas Cowboys,1,4:14,Dallas Cowboys,Brandon Aubrey 52 yard field goal,7,3
2024-09-15,New Orleans Saints,Dallas Cowboys,1,4:05,New Orleans Saints,Rashid Shaheed 70 yard pass from Derek Carr (Blake Grupe kick),14,3
2024-09-15,New Orleans Saints,Dallas Cowboys,2,11:39,Dallas Cowboys,Brandon Aubrey 38 yard field goal,14,6
2024-09-15,New Orleans Saints,Dallas Cowboys,2,9:30,New Orleans Saints,Alvin Kamara 57 yard pass from Derek Carr (Blake Grupe kick),21,6
2024-09-15,New Orleans Saints,Dallas Cowboys,2,7:43,Dallas Cowboys,CeeDee Lamb 65 yard pass from Dak Prescott (Brandon Aubrey kick),21,13
2024-09-15,New Orleans Saints,Dallas Cowboys,2,2:48,New Orleans Saints,Alvin Kamara 12 yard rush (Blake Grupe kick),28,13
2024-09-15,New Orleans Saints,Dallas Cowboys,2,0:39,New Orleans Saints,Derek Carr 1 yard rush (Blake Grupe kick),35,13
2024-09-15,New Orleans Saints,Dallas Cowboys,2,0:00,Dallas Cowboys,Brandon Aubrey 48 yard field goal,35,16
2024-09-15,New Orleans Saints,Dallas Cowboys,3,9:05,Dallas Cowboys,Brandon Aubrey 40 yard field goal,35,19
2024-09-15,New Orleans Saints,Dallas Cowboys,3,1:09,New Orleans Saints,Alvin Kamara 7 yard rush (Blake Grupe kick failed),41,19
2024-09-15,New Orleans Saints,Dallas Cowboys,4,5:11,New Orleans Saints,Blake Grupe 26 yard field goal,44,19
