Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,New York Giants,Washington Commanders,Daniel Jones,New York Giants,178,2,0,0,0,0,32,0,0
2024-09-15,New York Giants,Washington Commanders,Devin Singletary,New York Giants,0,0,0,1,0,0,95,1,1
2024-09-15,New York Giants,Washington Commanders,Tyrone Tracy,New York Giants,0,0,0,0,0,0,2,0,0
2024-09-15,New York Giants,Washington Commanders,Malik Nabers,New York Giants,0,0,0,10,127,1,0,0,0
2024-09-15,New York Giants,Washington Commanders,Darius Slayton,New York Giants,0,0,0,3,33,0,0,0,0
2024-09-15,New York Giants,Washington Commanders,Wan'Dale Robinson,New York Giants,0,0,0,2,18,1,0,0,0
2024-09-15,New York Giants,Washington Commanders,Jayden Daniels,Washington Commanders,226,0,0,0,0,0,44,0,0
2024-09-15,New York Giants,Washington Commanders,Brian Robinson Jr.,Washington Commanders,0,0,0,1,3,0,133,0,0
2024-09-15,New York Giants,Washington Commanders,Austin Ekeler,Washington Commanders,0,0,0,3,47,0,38,0,0
2024-09-15,New York Giants,Washington Commanders,Zach Ertz,Washington Commanders,0,0,0,4,62,0,0,0,0
2024-09-15,New York Giants,Washington Commanders,Noah Brown,Washington Commanders,0,0,0,3,56,0,0,0,0
2024-09-15,New York Giants,Washington Commanders,Terry McLaurin,Washington Commanders,0,0,0,6,22,0,0,0,0
2024-09-15,New York Giants,Washington Commanders,Dyami Brown,Washington Commanders,0,0,0,2,17,0,0,0,0
2024-09-15,New York Giants,Washington Commanders,Olamide Zaccheaus,Washington Commanders,0,0,0,3,14,0,0,0,0
2024-09-15,New York Giants,Washington Commanders,John Bates,Washington Commanders,0,0,0,1,5,0,0,0,0
