Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-15,New York Giants,Washington Commanders,1,5:24,Washington Commanders,Austin Seibert 27 yard field goal,0,3
2024-09-15,New York Giants,Washington Commanders,1,1:06,New York Giants,Devin Singletary 7 yard rush (Jamie Gillan kick failed),6,3
2024-09-15,New York Giants,Washington Commanders,2,10:37,Washington Commanders,Austin Seibert 45 yard field goal,6,6
2024-09-15,New York Giants,Washington Commanders,2,1:50,Washington Commanders,Austin Seibert 26 yard field goal,6,9
2024-09-15,New York Giants,Washington Commanders,2,0:08,New York Giants,Malik Nabers 4 yard pass from Daniel Jones (pass failed),12,9
2024-09-15,New York Giants,Washington Commanders,3,7:58,Washington Commanders,Austin Seibert 27 yard field goal,12,12
2024-09-15,New York Giants,Washington Commanders,3,2:47,Washington Commanders,Austin Seibert 29 yard field goal,12,15
2024-09-15,New York Giants,Washington Commanders,4,11:32,New York Giants,Wan'Dale Robinson 7 yard pass from Daniel Jones (pass failed),18,15
2024-09-15,New York Giants,Washington Commanders,4,7:12,Washington Commanders,Austin Seibert 33 yard field goal,18,18
2024-09-15,New York Giants,Washington Commanders,4,0:00,Washington Commanders,Austin Seibert 30 yard field goal,18,21
