Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,New York Jets,Tennessee Titans,Aaron Rodgers,New York Jets,176,2,0,0,0,0,1,0,0
2024-09-15,New York Jets,Tennessee Titans,Breece Hall,New York Jets,0,0,0,7,52,1,62,0,0
2024-09-15,New York Jets,Tennessee Titans,Braelon Allen,New York Jets,0,0,0,2,23,1,33,1,0
2024-09-15,New York Jets,Tennessee Titans,Garrett Wilson,New York Jets,0,0,0,4,57,0,5,0,0
2024-09-15,New York Jets,Tennessee Titans,Mike Williams,New York Jets,0,0,0,1,19,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Allen Lazard,New York Jets,0,0,0,2,11,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Tyler Conklin,New York Jets,0,0,0,1,10,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Malachi Corley,New York Jets,0,0,0,1,4,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Jeremy Ruckert,New York Jets,0,0,0,0,0,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Will Levis,Tennessee Titans,192,1,1,0,0,0,38,0,1
2024-09-15,New York Jets,Tennessee Titans,Tony Pollard,Tennessee Titans,0,0,0,5,40,0,62,0,0
2024-09-15,New York Jets,Tennessee Titans,Tyjae Spears,Tennessee Titans,0,0,0,2,11,0,20,0,0
2024-09-15,New York Jets,Tennessee Titans,Calvin Ridley,Tennessee Titans,0,0,0,4,77,1,10,1,0
2024-09-15,New York Jets,Tennessee Titans,Tyler Boyd,Tennessee Titans,0,0,0,2,26,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Chigoziem Okonkwo,Tennessee Titans,0,0,0,3,16,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Josh Whyle,Tennessee Titans,0,0,0,2,13,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,DeAndre Hopkins,Tennessee Titans,0,0,0,1,9,0,0,0,0
2024-09-15,New York Jets,Tennessee Titans,Treylon Burks,Tennessee Titans,0,0,0,0,0,0,0,0,0
