Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Pittsburgh Steelers,Denver Broncos,Justin Fields,Pittsburgh Steelers,117,1,0,0,0,0,27,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Najee Harris,Pittsburgh Steelers,0,0,0,1,5,0,69,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Jaylen Warren,Pittsburgh Steelers,0,0,0,2,19,0,42,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,0,0,0,3,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Pat Freiermuth,Pittsburgh Steelers,0,0,0,4,39,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,George Pickens,Pittsburgh Steelers,0,0,0,2,29,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Van Jefferson,Pittsburgh Steelers,0,0,0,2,14,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Calvin Austin III,Pittsburgh Steelers,0,0,0,1,6,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Darnell Washington,Pittsburgh Steelers,0,0,0,1,5,1,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Bo Nix,Denver Broncos,246,0,2,0,0,0,25,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Javonte Williams,Denver Broncos,0,0,0,5,48,0,17,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Tyler Badie,Denver Broncos,0,0,0,1,2,0,16,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Jaleel McLaughlin,Denver Broncos,0,0,0,0,0,0,6,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Josh Reynolds,Denver Broncos,0,0,0,4,93,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Lil'Jordan Humphrey,Denver Broncos,0,0,0,4,50,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Courtland Sutton,Denver Broncos,0,0,0,1,26,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Greg Dulcich,Denver Broncos,0,0,0,3,16,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Marvin Mims,Denver Broncos,0,0,0,1,10,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Michael Burton,Denver Broncos,0,0,0,1,1,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Troy Franklin,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-15,Pittsburgh Steelers,Denver Broncos,Nate Adkins,Denver Broncos,0,0,0,0,0,0,0,0,0
