Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,San Francisco 49ers,Minnesota Vikings,Brock Purdy,San Francisco 49ers,319,1,1,0,0,0,12,0,1
2024-09-15,San Francisco 49ers,Minnesota Vikings,Jordan Mason,San Francisco 49ers,0,0,0,1,4,0,100,1,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,George Kittle,San Francisco 49ers,0,0,0,7,76,1,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Brandon Aiyuk,San Francisco 49ers,0,0,0,4,43,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Jauan Jennings,San Francisco 49ers,0,0,0,2,37,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Eric Saubert,San Francisco 49ers,0,0,0,2,26,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Kyle Juszczyk,San Francisco 49ers,0,0,0,3,19,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Chris Conley,San Francisco 49ers,0,0,0,1,4,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Isaac Guerendo,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Deebo Samuel,San Francisco 49ers,0,0,0,8,110,0,-10,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Sam Darnold,Minnesota Vikings,268,2,1,0,0,0,32,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Ty Chandler,Minnesota Vikings,0,0,0,0,0,0,82,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Aaron Jones,Minnesota Vikings,0,0,0,5,36,0,32,0,1
2024-09-15,San Francisco 49ers,Minnesota Vikings,Justin Jefferson,Minnesota Vikings,0,0,0,4,133,1,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Jalen Nailor,Minnesota Vikings,0,0,0,3,54,1,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Trent Sherfield,Minnesota Vikings,0,0,0,1,17,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Brandon Powell,Minnesota Vikings,0,0,0,2,16,0,0,0,0
2024-09-15,San Francisco 49ers,Minnesota Vikings,Johnny Mundt,Minnesota Vikings,0,0,0,2,12,0,0,0,0
