Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Seattle Seahawks,New England Patriots,Geno Smith,Seattle Seahawks,327,1,0,0,0,0,8,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Zach Charbonnet,Seattle Seahawks,0,0,0,5,31,0,38,1,0
2024-09-15,Seattle Seahawks,New England Patriots,D.K. Metcalf,Seattle Seahawks,0,0,0,10,129,1,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,12,117,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Jake Bobo,Seattle Seahawks,0,0,0,2,15,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Tyler Lockett,Seattle Seahawks,0,0,0,2,15,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Noah Fant,Seattle Seahawks,0,0,0,1,14,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Laviska Shenault Jr.,Seattle Seahawks,0,0,0,1,6,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Jacoby Brissett,New England Patriots,149,1,0,0,0,0,6,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Antonio Gibson,New England Patriots,0,0,0,1,7,0,96,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Rhamondre Stevenson,New England Patriots,0,0,0,2,9,0,81,1,0
2024-09-15,Seattle Seahawks,New England Patriots,Jamycal Hasty,New England Patriots,0,0,0,0,0,0,2,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Hunter Henry,New England Patriots,0,0,0,8,109,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Ja'Lynn Polk,New England Patriots,0,0,0,2,12,1,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,K.J. Osborn,New England Patriots,0,0,0,1,7,0,0,0,0
2024-09-15,Seattle Seahawks,New England Patriots,Austin Hooper,New England Patriots,0,0,0,1,5,0,0,0,0
