Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Baker Mayfield,Tampa Bay Buccaneers,185,1,1,0,0,0,34,1,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Bucky Irving,Tampa Bay Buccaneers,0,0,0,0,0,0,22,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Rachaad White,Tampa Bay Buccaneers,0,0,0,1,5,0,18,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Chris Godwin,Tampa Bay Buccaneers,0,0,0,7,117,1,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Mike Evans,Tampa Bay Buccaneers,0,0,0,3,42,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,1,21,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Cade Otton,Tampa Bay Buccaneers,0,0,0,0,0,0,-4,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Jared Goff,Detroit Lions,307,0,2,0,0,0,5,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Jack Fox,Detroit Lions,17,0,0,0,0,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Jahmyr Gibbs,Detroit Lions,0,0,0,7,22,0,84,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,David Montgomery,Detroit Lions,0,0,0,4,35,0,35,1,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Jameson Williams,Detroit Lions,0,0,0,5,79,0,15,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Amon-Ra St. Brown,Detroit Lions,0,0,0,11,119,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Kalif Raymond,Detroit Lions,0,0,0,3,27,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Sione Vaki,Detroit Lions,0,0,0,1,17,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Sam LaPorta,Detroit Lions,0,0,0,2,13,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Tim Patrick,Detroit Lions,0,0,0,2,12,0,0,0,0
2024-09-15,Tampa Bay Buccaneers,Detroit Lions,Tom Kennedy,Detroit Lions,0,0,0,0,0,0,0,0,0
