Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Kirk Cousins,Atlanta Falcons,241,2,0,0,0,0,-1,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Bijan Robinson,Atlanta Falcons,0,0,0,4,25,0,97,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Tyler Allgeier,Atlanta Falcons,0,0,0,1,12,0,53,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Ray-Ray McCloud,Atlanta Falcons,0,0,0,3,42,0,3,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Darnell Mooney,Atlanta Falcons,0,0,0,3,88,1,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Drake London,Atlanta Falcons,0,0,0,6,54,1,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Kyle Pitts,Atlanta Falcons,0,0,0,3,20,0,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,183,1,1,0,0,0,85,1,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,0,0,0,4,21,0,95,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Kenneth Gainwell,Philadelphia Eagles,0,0,0,0,0,0,6,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,0,0,0,7,76,1,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Dallas Goedert,Philadelphia Eagles,0,0,0,3,38,0,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Britain Covey,Philadelphia Eagles,0,0,0,6,23,0,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Grant Calcaterra,Philadelphia Eagles,0,0,0,2,19,0,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,0,0,0,1,6,0,0,0,0
2024-09-16,Atlanta Falcons,Philadelphia Eagles,Johnny Wilson,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
