Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-19,New England Patriots,New York Jets,Jacoby Brissett,New England Patriots,98,0,0,0,0,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Drake Maye,New England Patriots,22,0,0,0,0,0,12,0,0
2024-09-19,New England Patriots,New York Jets,Antonio Gibson,New England Patriots,0,0,0,3,8,0,29,0,0
2024-09-19,New England Patriots,New York Jets,Rhamondre Stevenson,New England Patriots,0,0,0,0,0,0,23,0,1
2024-09-19,New England Patriots,New York Jets,Demario Douglas,New England Patriots,0,0,0,7,69,0,9,0,0
2024-09-19,New England Patriots,New York Jets,Jamycal Hasty,New England Patriots,0,0,0,0,0,0,5,0,0
2024-09-19,New England Patriots,New York Jets,Austin Hooper,New England Patriots,0,0,0,1,19,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Ja'Lynn Polk,New England Patriots,0,0,0,2,13,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Hunter Henry,New England Patriots,0,0,0,2,9,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Kayshon Boutte,New England Patriots,0,0,0,1,2,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Tyquan Thornton,New England Patriots,0,0,0,0,0,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Aaron Rodgers,New York Jets,281,2,0,0,0,0,18,0,0
2024-09-19,New England Patriots,New York Jets,Braelon Allen,New York Jets,0,0,0,3,13,0,55,0,0
2024-09-19,New England Patriots,New York Jets,Breece Hall,New York Jets,0,0,0,4,29,0,54,1,0
2024-09-19,New England Patriots,New York Jets,Isaiah Davis,New York Jets,0,0,0,0,0,0,6,0,0
2024-09-19,New England Patriots,New York Jets,Tyler Conklin,New York Jets,0,0,0,5,93,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Allen Lazard,New York Jets,0,0,0,3,48,1,0,0,0
2024-09-19,New England Patriots,New York Jets,Mike Williams,New York Jets,0,0,0,3,34,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Garrett Wilson,New York Jets,0,0,0,5,33,1,0,0,0
2024-09-19,New England Patriots,New York Jets,Xavier Gipson,New York Jets,0,0,0,2,16,0,0,0,0
2024-09-19,New England Patriots,New York Jets,Jeremy Ruckert,New York Jets,0,0,0,2,15,0,0,0,0
