Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Baltimore Ravens,Dallas Cowboys,Lamar Jackson,Baltimore Ravens,182,1,0,0,0,0,87,1,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Derrick Henry,Baltimore Ravens,0,0,0,1,23,0,151,2,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Justice Hill,Baltimore Ravens,0,0,0,2,21,0,33,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Zay Flowers,Baltimore Ravens,0,0,0,3,20,0,3,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Nelson Agholor,Baltimore Ravens,0,0,0,1,56,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Charlie Kolar,Baltimore Ravens,0,0,0,1,30,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Rashod Bateman,Baltimore Ravens,0,0,0,3,28,1,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Isaiah Likely,Baltimore Ravens,0,0,0,1,4,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Mark Andrews,Baltimore Ravens,0,0,0,0,0,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Dak Prescott,Dallas Cowboys,379,2,0,0,0,0,7,1,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Rico Dowdle,Dallas Cowboys,0,0,0,3,24,0,32,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Ezekiel Elliott,Dallas Cowboys,0,0,0,1,6,0,6,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Deuce Vaughn,Dallas Cowboys,0,0,0,1,8,0,5,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,KaVontae Turpin,Dallas Cowboys,0,0,0,3,51,1,1,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Jake Ferguson,Dallas Cowboys,0,0,0,6,95,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,CeeDee Lamb,Dallas Cowboys,0,0,0,4,67,0,0,0,1
2024-09-22,Baltimore Ravens,Dallas Cowboys,Jalen Tolbert,Dallas Cowboys,0,0,0,3,42,1,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Hunter Luepke,Dallas Cowboys,0,0,0,2,41,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Jalen Brooks,Dallas Cowboys,0,0,0,1,24,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Brandin Cooks,Dallas Cowboys,0,0,0,2,16,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Luke Schoonmaker,Dallas Cowboys,0,0,0,1,5,0,0,0,0
2024-09-22,Baltimore Ravens,Dallas Cowboys,Tyler Smith,Dallas Cowboys,0,0,0,1,0,0,0,0,0
