Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Carolina Panthers,Las Vegas Raiders,Andy Dalton,Carolina Panthers,319,3,0,0,0,0,-2,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Chuba Hubbard,Carolina Panthers,0,0,0,5,55,1,114,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Miles Sanders,Carolina Panthers,0,0,0,2,13,0,17,1,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Jonathan Mingo,Carolina Panthers,0,0,0,3,18,0,2,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Diontae Johnson,Carolina Panthers,0,0,0,8,122,1,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Xavier Legette,Carolina Panthers,0,0,0,2,42,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Adam Thielen,Carolina Panthers,0,0,0,3,40,1,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Tommy Tremble,Carolina Panthers,0,0,0,3,29,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Ja'Tavion Sanders,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Gardner Minshew II,Las Vegas Raiders,214,1,1,0,0,0,14,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Aidan O'Connell,Las Vegas Raiders,82,1,0,0,0,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Zamir White,Las Vegas Raiders,0,0,0,0,0,0,34,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Alexander Mattison,Las Vegas Raiders,0,0,0,3,37,0,7,1,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Tre Tucker,Las Vegas Raiders,0,0,0,7,96,1,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Jakobi Meyers,Las Vegas Raiders,0,0,0,7,62,1,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Brock Bowers,Las Vegas Raiders,0,0,0,3,41,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Davante Adams,Las Vegas Raiders,0,0,0,4,40,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Ameer Abdullah,Las Vegas Raiders,0,0,0,2,13,0,0,0,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,Michael Mayer,Las Vegas Raiders,0,0,0,1,7,0,0,0,0
