Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-22,Carolina Panthers,Las Vegas Raiders,1,10:13,Carolina Panthers,Chuba Hubbard 6 yard pass from Andy Dalton (Eddy Piñeiro kick),7,0
2024-09-22,Carolina Panthers,Las Vegas Raiders,1,0:24,Las Vegas Raiders,Alexander Mattison 2 yard rush (Daniel Carlson kick),7,7
2024-09-22,Carolina Panthers,Las Vegas Raiders,2,9:28,Carolina Panthers,Diontae Johnson 5 yard pass from Andy Dalton (Eddy Piñeiro kick),14,7
2024-09-22,Carolina Panthers,Las Vegas Raiders,2,0:28,Carolina Panthers,Adam Thielen 31 yard pass from Andy Dalton (Eddy Piñeiro kick),21,7
2024-09-22,Carolina Panthers,Las Vegas Raiders,3,9:59,Carolina Panthers,Eddy Piñeiro 43 yard field goal,24,7
2024-09-22,Carolina Panthers,Las Vegas Raiders,3,4:46,Carolina Panthers,Eddy Piñeiro 35 yard field goal,27,7
2024-09-22,Carolina Panthers,Las Vegas Raiders,4,13:33,Carolina Panthers,Miles Sanders 1 yard rush (pass failed),33,7
2024-09-22,Carolina Panthers,Las Vegas Raiders,4,10:56,Las Vegas Raiders,Jakobi Meyers 13 yard pass from Gardner Minshew II (Jakobi Meyers pass from Gardner Minshew II),33,15
2024-09-22,Carolina Panthers,Las Vegas Raiders,4,4:47,Carolina Panthers,Eddy Piñeiro 26 yard field goal,36,15
2024-09-22,Carolina Panthers,Las Vegas Raiders,4,0:56,Las Vegas Raiders,Tre Tucker 8 yard pass from Aidan O'Connell (Daniel Carlson kick),36,22
