Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Chicago Bears,Indianapolis Colts,Caleb Williams,Chicago Bears,363,2,2,0,0,0,8,0,1
2024-09-22,Chicago Bears,Indianapolis Colts,Roschon Johnson,Chicago Bears,0,0,0,4,32,0,30,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,D'Andre Swift,Chicago Bears,0,0,0,2,22,0,20,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Khalil Herbert,Chicago Bears,0,0,0,0,0,0,9,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Rome Odunze,Chicago Bears,0,0,0,6,112,1,2,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Cole Kmet,Chicago Bears,0,0,0,10,97,1,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,DeAndre Carter,Chicago Bears,0,0,0,3,22,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Gerald Everett,Chicago Bears,0,0,0,0,0,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,D.J. Moore,Chicago Bears,0,0,0,8,78,0,-6,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Anthony Richardson,Indianapolis Colts,167,0,2,0,0,0,24,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Jonathan Taylor,Indianapolis Colts,0,0,0,1,25,0,110,2,0
2024-09-22,Chicago Bears,Indianapolis Colts,Trey Sermon,Indianapolis Colts,0,0,0,0,0,0,16,1,0
2024-09-22,Chicago Bears,Indianapolis Colts,Alec Pierce,Indianapolis Colts,0,0,0,1,44,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Kylen Granson,Indianapolis Colts,0,0,0,1,40,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Michael Pittman Jr.,Indianapolis Colts,0,0,0,4,36,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Josh Downs,Indianapolis Colts,0,0,0,3,22,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Adonai Mitchell,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-09-22,Chicago Bears,Indianapolis Colts,Mo Alie-Cox,Indianapolis Colts,0,0,0,0,0,0,0,0,0
