Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Bo Nix,Denver Broncos,216,0,0,0,0,0,47,1,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Tyler Badie,Denver Broncos,0,0,0,0,0,0,70,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Javonte Williams,Denver Broncos,0,0,0,4,29,0,12,0,1
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Jaleel McLaughlin,Denver Broncos,0,0,0,1,7,0,7,1,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Courtland Sutton,Denver Broncos,0,0,0,7,68,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Lil'Jordan Humphrey,Denver Broncos,0,0,0,6,37,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Josh Reynolds,Denver Broncos,0,0,0,2,36,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Adam Trautman,Denver Broncos,0,0,0,1,13,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Troy Franklin,Denver Broncos,0,0,0,2,11,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Marvin Mims,Denver Broncos,0,0,0,1,9,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Nate Adkins,Denver Broncos,0,0,0,1,6,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,163,1,1,0,0,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,0,0,0,3,14,0,70,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Rachaad White,Tampa Bay Buccaneers,0,0,0,5,18,0,17,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Sean Tucker,Tampa Bay Buccaneers,0,0,0,0,0,0,4,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Chris Godwin,Tampa Bay Buccaneers,0,0,0,6,53,1,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,0,0,0,7,47,0,0,0,1
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Mike Evans,Tampa Bay Buccaneers,0,0,0,2,17,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Payne Durham,Tampa Bay Buccaneers,0,0,0,1,8,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,1,6,0,0,0,0
2024-09-22,Denver Broncos,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0
