Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Detroit Lions,Arizona Cardinals,Jared Goff,Detroit Lions,199,2,1,0,0,0,6,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,David Montgomery,Detroit Lions,0,0,0,3,17,0,105,1,0
2024-09-22,Detroit Lions,Arizona Cardinals,Jahmyr Gibbs,Detroit Lions,0,0,0,0,20,1,83,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Amon-Ra St. Brown,Detroit Lions,0,0,0,7,75,1,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Sam LaPorta,Detroit Lions,0,0,0,2,36,0,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Brock Wright,Detroit Lions,0,0,0,4,34,0,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Tim Patrick,Detroit Lions,0,0,0,1,8,0,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Jameson Williams,Detroit Lions,0,0,0,1,9,0,-7,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Kyler Murray,Arizona Cardinals,207,1,1,0,0,0,45,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,James Conner,Arizona Cardinals,0,0,0,1,8,0,17,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Trey Benson,Arizona Cardinals,0,0,0,0,0,0,8,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Emari Demercado,Arizona Cardinals,0,0,0,0,0,0,7,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,5,64,1,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Michael Wilson,Arizona Cardinals,0,0,0,8,64,0,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Greg Dortch,Arizona Cardinals,0,0,0,3,35,0,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Trey McBride,Arizona Cardinals,0,0,0,3,25,0,0,0,0
2024-09-22,Detroit Lions,Arizona Cardinals,Elijah Higgins,Arizona Cardinals,0,0,0,1,11,0,0,0,0
