Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Green Bay Packers,Tennessee Titans,Malik Willis,Green Bay Packers,202,1,0,0,0,0,73,1,0
2024-09-22,Green Bay Packers,Tennessee Titans,Emanuel Wilson,Green Bay Packers,0,0,0,2,35,1,50,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Josh Jacobs,Green Bay Packers,0,0,0,1,5,0,43,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Jayden Reed,Green Bay Packers,0,0,0,4,50,0,19,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Chris Brooks,Green Bay Packers,0,0,0,0,0,0,3,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Christian Watson,Green Bay Packers,0,0,0,2,67,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Tucker Kraft,Green Bay Packers,0,0,0,2,24,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Romeo Doubs,Green Bay Packers,0,0,0,1,18,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Luke Musgrave,Green Bay Packers,0,0,0,1,3,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Dontayvion Wicks,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Will Levis,Tennessee Titans,260,2,2,0,0,0,12,0,1
2024-09-22,Green Bay Packers,Tennessee Titans,Tony Pollard,Tennessee Titans,0,0,0,3,15,0,14,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Tyjae Spears,Tennessee Titans,0,0,0,4,54,0,7,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,DeAndre Hopkins,Tennessee Titans,0,0,0,6,73,1,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Josh Whyle,Tennessee Titans,0,0,0,4,43,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Tyler Boyd,Tennessee Titans,0,0,0,3,33,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Chigoziem Okonkwo,Tennessee Titans,0,0,0,2,15,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Calvin Ridley,Tennessee Titans,0,0,0,1,9,0,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Nick Vannett,Tennessee Titans,0,0,0,2,9,1,0,0,0
2024-09-22,Green Bay Packers,Tennessee Titans,Treylon Burks,Tennessee Titans,0,0,0,1,9,0,0,0,0
