Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Houston Texans,Minnesota Vikings,C.J. Stroud,Houston Texans,215,1,2,0,0,0,12,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Davis Mills,Houston Texans,79,0,0,0,0,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Stefon Diggs,Houston Texans,13,0,0,10,94,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Cam Akers,Houston Texans,0,0,0,1,8,1,21,0,0
2024-09-22,Houston Texans,Minnesota Vikings,J.J. Taylor,Houston Texans,0,0,0,2,0,0,3,0,0
2024-09-22,Houston Texans,Minnesota Vikings,British Brooks,Houston Texans,0,0,0,0,0,0,2,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Nico Collins,Houston Texans,0,0,0,4,86,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Tank Dell,Houston Texans,0,0,0,5,62,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Dare Ogunbowale,Houston Texans,0,0,0,2,28,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Robert Woods,Houston Texans,0,0,0,2,18,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Dalton Schultz,Houston Texans,0,0,0,2,11,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Xavier Hutchinson,Houston Texans,0,0,0,0,0,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Sam Darnold,Minnesota Vikings,181,4,0,0,0,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Aaron Jones,Minnesota Vikings,0,0,0,5,46,1,102,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Ty Chandler,Minnesota Vikings,0,0,0,0,0,0,13,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Jalen Nailor,Minnesota Vikings,0,0,0,3,31,1,3,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Justin Jefferson,Minnesota Vikings,0,0,0,6,81,1,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Brandon Powell,Minnesota Vikings,0,0,0,1,13,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Trent Sherfield,Minnesota Vikings,0,0,0,1,8,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Johnny Mundt,Minnesota Vikings,0,0,0,1,2,1,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Nick Mullens,Minnesota Vikings,0,0,0,0,0,0,0,0,0
2024-09-22,Houston Texans,Minnesota Vikings,Josh Oliver,Minnesota Vikings,0,0,0,0,0,0,0,0,0
