Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Patrick Mahomes,Kansas City Chiefs,217,2,1,0,0,0,17,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Carson Steele,Kansas City Chiefs,0,0,0,1,2,0,72,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Samaje Perine,Kansas City Chiefs,0,0,0,3,15,0,25,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Xavier Worthy,Kansas City Chiefs,0,0,0,2,17,0,13,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Rashee Rice,Kansas City Chiefs,0,0,0,12,110,1,1,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Travis Kelce,Kansas City Chiefs,0,0,0,4,30,0,0,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,JuJu Smith-Schuster,Kansas City Chiefs,0,0,0,2,17,1,0,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Noah Gray,Kansas City Chiefs,0,0,0,1,13,0,0,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Justin Watson,Kansas City Chiefs,0,0,0,1,13,0,0,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Kirk Cousins,Atlanta Falcons,230,1,1,0,0,0,-1,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,0,0,0,0,0,0,32,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Bijan Robinson,Atlanta Falcons,0,0,0,2,21,0,31,1,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0,0,2,17,0,20,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Drake London,Atlanta Falcons,0,0,0,6,67,1,0,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Darnell Mooney,Atlanta Falcons,0,0,0,8,66,0,0,0,0
2024-09-22,Kansas City Chiefs,Atlanta Falcons,Kyle Pitts,Atlanta Falcons,0,0,0,2,59,0,0,0,0
