Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Justin Herbert,Los Angeles Chargers,125,1,0,0,0,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Taylor Heinicke,Los Angeles Chargers,24,0,0,0,0,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,J.K. Dobbins,Los Angeles Chargers,0,0,0,3,10,0,44,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Gus Edwards,Los Angeles Chargers,0,0,0,0,0,0,9,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Derius Davis,Los Angeles Chargers,0,0,0,0,0,0,8,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Quentin Johnston,Los Angeles Chargers,0,0,0,2,44,1,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Ladd McConkey,Los Angeles Chargers,0,0,0,3,44,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Will Dissly,Los Angeles Chargers,0,0,0,3,19,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Simi Fehoko,Los Angeles Chargers,0,0,0,1,17,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Hayden Hurst,Los Angeles Chargers,0,0,0,2,15,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Justin Fields,Pittsburgh Steelers,245,1,1,0,0,0,6,1,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Najee Harris,Pittsburgh Steelers,0,0,0,5,16,0,70,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,3,15,0,33,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Jaylen Warren,Pittsburgh Steelers,0,0,0,1,-4,0,5,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Calvin Austin III,Pittsburgh Steelers,0,0,0,4,95,1,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,George Pickens,Pittsburgh Steelers,0,0,0,5,57,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Pat Freiermuth,Pittsburgh Steelers,0,0,0,4,33,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Scott Miller,Pittsburgh Steelers,0,0,0,2,31,0,0,0,0
2024-09-22,Los Angeles Chargers,Pittsburgh Steelers,Connor Heyward,Pittsburgh Steelers,0,0,0,1,2,0,0,0,0
