Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Miami Dolphins,Seattle Seahawks,Skylar Thompson,Miami Dolphins,107,0,0,0,0,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Tim Boyle,Miami Dolphins,79,0,0,0,0,0,6,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,De'Von Achane,Miami Dolphins,0,0,0,3,28,0,30,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,17,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Jeff Wilson,Miami Dolphins,0,0,0,0,0,0,14,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Tyreek Hill,Miami Dolphins,0,0,0,3,40,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,D'Wayne Eskridge,Miami Dolphins,0,0,0,1,30,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Jaylen Waddle,Miami Dolphins,0,0,0,4,26,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Julian Hill,Miami Dolphins,0,0,0,2,24,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Jonnu Smith,Miami Dolphins,0,0,0,2,18,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Durham Smythe,Miami Dolphins,0,0,0,1,3,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Tanner Conner,Miami Dolphins,0,0,0,1,1,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Braxton Berrios,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Erik Ezukanma,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Alec Ingold,Miami Dolphins,0,0,0,3,16,0,-2,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Geno Smith,Seattle Seahawks,289,1,2,0,0,0,-2,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,3,16,0,91,2,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Kenny McIntosh,Seattle Seahawks,0,0,0,0,0,0,11,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,D.K. Metcalf,Seattle Seahawks,0,0,0,4,104,1,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Noah Fant,Seattle Seahawks,0,0,0,6,60,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,5,46,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,3,39,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,AJ Barner,Seattle Seahawks,0,0,0,3,13,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Pharaoh Brown,Seattle Seahawks,0,0,0,1,9,0,0,0,0
2024-09-22,Miami Dolphins,Seattle Seahawks,Laviska Shenault Jr.,Seattle Seahawks,0,0,0,1,2,0,0,0,0
