Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,New York Giants,Cleveland Browns,Daniel Jones,New York Giants,236,2,0,0,0,0,20,0,0
2024-09-22,New York Giants,Cleveland Browns,Malik Nabers,New York Giants,0,0,0,8,78,2,4,0,0
2024-09-22,New York Giants,Cleveland Browns,Devin Singletary,New York Giants,0,0,0,4,43,0,65,1,1
2024-09-22,New York Giants,Cleveland Browns,Tyrone Tracy,New York Giants,0,0,0,2,17,0,23,0,0
2024-09-22,New York Giants,Cleveland Browns,Wan'Dale Robinson,New York Giants,0,0,0,7,61,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Daniel Bellinger,New York Giants,0,0,0,1,17,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Theo Johnson,New York Giants,0,0,0,1,13,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Darius Slayton,New York Giants,0,0,0,1,7,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Jalin Hyatt,New York Giants,0,0,0,0,0,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Eric Gray,New York Giants,0,0,0,0,0,0,0,0,1
2024-09-22,New York Giants,Cleveland Browns,Deshaun Watson,Cleveland Browns,196,2,0,0,0,0,26,0,2
2024-09-22,New York Giants,Cleveland Browns,Jerome Ford,Cleveland Browns,0,0,0,3,33,0,37,0,0
2024-09-22,New York Giants,Cleveland Browns,D'Onta Foreman,Cleveland Browns,0,0,0,0,0,0,5,0,0
2024-09-22,New York Giants,Cleveland Browns,Jameis Winston,Cleveland Browns,0,0,0,0,0,0,1,0,0
2024-09-22,New York Giants,Cleveland Browns,Amari Cooper,Cleveland Browns,0,0,0,7,86,2,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Jordan Akins,Cleveland Browns,0,0,0,4,29,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Jerry Jeudy,Cleveland Browns,0,0,0,4,27,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Elijah Moore,Cleveland Browns,0,0,0,2,17,0,0,0,0
2024-09-22,New York Giants,Cleveland Browns,Cedric Tillman,Cleveland Browns,0,0,0,1,4,0,0,0,0
