Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,Philadelphia Eagles,New Orleans Saints,Jalen Hurts,Philadelphia Eagles,311,0,1,0,0,0,25,0,1
2024-09-22,Philadelphia Eagles,New Orleans Saints,Saquon Barkley,Philadelphia Eagles,0,0,0,4,9,0,147,2,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Dallas Goedert,Philadelphia Eagles,0,0,0,10,170,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,DeVonta Smith,Philadelphia Eagles,0,0,0,7,79,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Parris Campbell,Philadelphia Eagles,0,0,0,2,13,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Kenneth Gainwell,Philadelphia Eagles,0,0,0,2,12,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Britain Covey,Philadelphia Eagles,0,0,0,1,11,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Johnny Wilson,Philadelphia Eagles,0,0,0,1,9,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Jahan Dotson,Philadelphia Eagles,0,0,0,2,8,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Derek Carr,New Orleans Saints,142,1,1,0,0,0,3,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Alvin Kamara,New Orleans Saints,0,0,0,3,40,0,87,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Chris Olave,New Orleans Saints,0,0,0,6,86,1,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Mason Tipton,New Orleans Saints,0,0,0,2,11,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Cedrick Wilson Jr.,New Orleans Saints,0,0,0,1,3,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Foster Moreau,New Orleans Saints,0,0,0,1,2,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Rashid Shaheed,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-09-22,Philadelphia Eagles,New Orleans Saints,Jamaal Williams,New Orleans Saints,0,0,0,1,0,0,-1,0,0
