Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-22,San Francisco 49ers,Los Angeles Rams,Brock Purdy,San Francisco 49ers,292,3,0,0,0,0,41,0,1
2024-09-22,San Francisco 49ers,Los Angeles Rams,Jordan Mason,San Francisco 49ers,0,0,0,2,11,0,77,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Isaac Guerendo,San Francisco 49ers,0,0,0,0,0,0,19,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Jauan Jennings,San Francisco 49ers,0,0,0,11,175,3,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Brandon Aiyuk,San Francisco 49ers,0,0,0,5,48,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Eric Saubert,San Francisco 49ers,0,0,0,2,41,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Ronnie Bell,San Francisco 49ers,0,0,0,1,12,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Kyle Juszczyk,San Francisco 49ers,0,0,0,1,6,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Jake Brendel,San Francisco 49ers,0,0,0,0,2,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Dominick Puni,San Francisco 49ers,0,0,0,0,-3,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Matthew Stafford,Los Angeles Rams,221,1,0,0,0,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Tutu Atwell,Los Angeles Rams,0,0,0,4,93,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Kyren Williams,Los Angeles Rams,0,0,0,2,27,1,89,2,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Ronnie Rivers,Los Angeles Rams,0,0,0,0,0,0,9,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Demarcus Robinson,Los Angeles Rams,0,0,0,1,32,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Jordan Whittington,Los Angeles Rams,0,0,0,3,28,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Colby Parkinson,Los Angeles Rams,0,0,0,3,21,0,0,0,0
2024-09-22,San Francisco 49ers,Los Angeles Rams,Tyler Johnson,Los Angeles Rams,0,0,0,3,20,0,0,0,0
