Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Trevor Lawrence,Jacksonville Jaguars,178,1,1,0,0,0,3,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Mac Jones,Jacksonville Jaguars,22,0,0,0,0,0,0,0,1
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Travis Etienne,Jacksonville Jaguars,0,0,0,4,17,0,68,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,0,0,0,12,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,9,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Christian Kirk,Jacksonville Jaguars,0,0,0,8,79,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Brian Thomas,Jacksonville Jaguars,0,0,0,5,48,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Parker Washington,Jacksonville Jaguars,0,0,0,2,18,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Gabriel Davis,Jacksonville Jaguars,0,0,0,2,18,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Brenton Strange,Jacksonville Jaguars,0,0,0,2,12,1,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Josiah Deguara,Jacksonville Jaguars,0,0,0,1,8,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Luke Farrell,Jacksonville Jaguars,0,0,0,1,1,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Devin Duvernay,Jacksonville Jaguars,0,0,0,1,-1,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Josh Allen,Buffalo Bills,263,4,0,0,0,0,44,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Mitchell Trubisky,Buffalo Bills,3,0,0,0,0,0,-1,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,James Cook,Buffalo Bills,0,0,0,4,48,0,39,1,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Ray Davis,Buffalo Bills,0,0,0,1,1,0,22,1,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Ty Johnson,Buffalo Bills,0,0,0,3,28,1,18,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Khalil Shakir,Buffalo Bills,0,0,0,6,72,1,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Dalton Kincaid,Buffalo Bills,0,0,0,3,41,1,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Keon Coleman,Buffalo Bills,0,0,0,1,24,1,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Curtis Samuel,Buffalo Bills,0,0,0,3,22,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Mack Hollins,Buffalo Bills,0,0,0,1,16,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Dawson Knox,Buffalo Bills,0,0,0,1,7,0,0,0,0
2024-09-23,Jacksonville Jaguars,Buffalo Bills,Marquez Valdes-Scantling,Buffalo Bills,0,0,0,1,7,0,0,0,0
