Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-23,Washington Commanders,Cincinnati Bengals,Jayden Daniels,Washington Commanders,254,2,0,0,0,0,39,1,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Austin Ekeler,Washington Commanders,0,0,0,2,22,0,35,1,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Brian Robinson Jr.,Washington Commanders,0,0,0,1,4,0,33,1,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,1,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Terry McLaurin,Washington Commanders,0,0,0,4,100,1,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Luke McCaffrey,Washington Commanders,0,0,0,3,44,0,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Zach Ertz,Washington Commanders,0,0,0,5,38,0,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Noah Brown,Washington Commanders,0,0,0,3,29,0,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Dyami Brown,Washington Commanders,0,0,0,2,16,0,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Trenton Scott,Washington Commanders,0,0,0,1,1,1,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Joe Burrow,Cincinnati Bengals,324,3,0,0,0,0,4,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Chase Brown,Cincinnati Bengals,0,0,0,2,7,0,62,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Zack Moss,Cincinnati Bengals,0,0,0,5,39,0,58,1,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Ja'Marr Chase,Cincinnati Bengals,0,0,0,6,118,2,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,0,0,0,5,52,1,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Mike Gesicki,Cincinnati Bengals,0,0,0,4,47,0,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Tee Higgins,Cincinnati Bengals,0,0,0,3,39,0,0,0,0
2024-09-23,Washington Commanders,Cincinnati Bengals,Erick All,Cincinnati Bengals,0,0,0,4,22,0,0,0,0
