Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-23,Washington Commanders,Cincinnati Bengals,1,11:37,Cincinnati Bengals,Ja'Marr Chase 41 yard pass from Joe Burrow (Evan McPherson kick),0,7
2024-09-23,Washington Commanders,Cincinnati Bengals,1,5:25,Washington Commanders,Brian Robinson Jr. 1 yard rush (Austin Seibert kick),7,7
2024-09-23,Washington Commanders,Cincinnati Bengals,2,11:31,Washington Commanders,Austin Ekeler 24 yard rush (Austin Seibert kick),14,7
2024-09-23,Washington Commanders,Cincinnati Bengals,2,5:25,Cincinnati Bengals,Evan McPherson 28 yard field goal,14,10
2024-09-23,Washington Commanders,Cincinnati Bengals,2,2:04,Washington Commanders,Jayden Daniels 4 yard rush (Austin Seibert kick),21,10
2024-09-23,Washington Commanders,Cincinnati Bengals,2,0:22,Cincinnati Bengals,Evan McPherson 31 yard field goal,21,13
2024-09-23,Washington Commanders,Cincinnati Bengals,3,9:54,Washington Commanders,Trenton Scott 1 yard pass from Jayden Daniels (Austin Seibert kick),28,13
2024-09-23,Washington Commanders,Cincinnati Bengals,3,3:03,Cincinnati Bengals,Andrei Iosivas 2 yard pass from Joe Burrow (Evan McPherson kick),28,20
2024-09-23,Washington Commanders,Cincinnati Bengals,4,11:30,Washington Commanders,Austin Seibert 42 yard field goal,31,20
2024-09-23,Washington Commanders,Cincinnati Bengals,4,9:42,Cincinnati Bengals,Ja'Marr Chase 31 yard pass from Joe Burrow (pass failed),31,26
2024-09-23,Washington Commanders,Cincinnati Bengals,4,2:10,Washington Commanders,Terry McLaurin 27 yard pass from Jayden Daniels (Austin Seibert kick),38,26
2024-09-23,Washington Commanders,Cincinnati Bengals,4,0:40,Cincinnati Bengals,Zack Moss 1 yard rush (Evan McPherson kick),38,33
