Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-26,Dallas Cowboys,New York Giants,Dak Prescott,Dallas Cowboys,221,2,0,0,0,0,-1,0,0
2024-09-26,Dallas Cowboys,New York Giants,Rico Dowdle,Dallas Cowboys,0,0,0,1,15,1,46,0,0
2024-09-26,Dallas Cowboys,New York Giants,Ezekiel Elliott,Dallas Cowboys,0,0,0,1,5,0,19,0,0
2024-09-26,Dallas Cowboys,New York Giants,CeeDee Lamb,Dallas Cowboys,0,0,0,7,98,1,8,0,0
2024-09-26,Dallas Cowboys,New York Giants,Hunter Luepke,Dallas Cowboys,0,0,0,2,14,0,8,0,0
2024-09-26,Dallas Cowboys,New York Giants,Jake Ferguson,Dallas Cowboys,0,0,0,7,49,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Jalen Tolbert,Dallas Cowboys,0,0,0,3,24,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Brandin Cooks,Dallas Cowboys,0,0,0,1,16,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Daniel Jones,New York Giants,281,0,1,0,0,0,3,0,0
2024-09-26,Dallas Cowboys,New York Giants,Devin Singletary,New York Giants,0,0,0,1,14,0,24,0,0
2024-09-26,Dallas Cowboys,New York Giants,Tyrone Tracy,New York Giants,0,0,0,1,19,0,2,0,0
2024-09-26,Dallas Cowboys,New York Giants,Eric Gray,New York Giants,0,0,0,0,0,0,1,0,0
2024-09-26,Dallas Cowboys,New York Giants,Wan'Dale Robinson,New York Giants,0,0,0,11,71,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Darius Slayton,New York Giants,0,0,0,3,56,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Theo Johnson,New York Giants,0,0,0,1,6,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Jalin Hyatt,New York Giants,0,0,0,0,0,0,0,0,0
2024-09-26,Dallas Cowboys,New York Giants,Malik Nabers,New York Giants,0,0,0,12,115,0,-4,0,0
