Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Buffalo Bills,Baltimore Ravens,Josh Allen,Buffalo Bills,180,0,0,0,0,0,21,0,1
2024-09-29,Buffalo Bills,Baltimore Ravens,Mitchell Trubisky,Buffalo Bills,2,0,0,0,0,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,James Cook,Buffalo Bills,0,0,0,1,9,0,39,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Ray Davis,Buffalo Bills,0,0,0,0,0,0,11,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Curtis Samuel,Buffalo Bills,0,0,0,2,8,0,7,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,3,1,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Khalil Shakir,Buffalo Bills,0,0,0,4,62,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Keon Coleman,Buffalo Bills,0,0,0,3,51,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Dalton Kincaid,Buffalo Bills,0,0,0,5,47,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Mack Hollins,Buffalo Bills,0,0,0,1,5,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Dawson Knox,Buffalo Bills,0,0,0,1,0,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Marquez Valdes-Scantling,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Lamar Jackson,Baltimore Ravens,156,2,0,0,0,0,54,1,1
2024-09-29,Buffalo Bills,Baltimore Ravens,Josh Johnson,Baltimore Ravens,1,0,0,0,0,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Derrick Henry,Baltimore Ravens,0,0,0,3,10,1,199,1,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Justice Hill,Baltimore Ravens,0,0,0,6,78,1,18,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Isaiah Likely,Baltimore Ravens,0,0,0,1,26,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Rashod Bateman,Baltimore Ravens,0,0,0,1,23,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Nelson Agholor,Baltimore Ravens,0,0,0,2,10,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Zay Flowers,Baltimore Ravens,0,0,0,1,10,0,0,0,0
2024-09-29,Buffalo Bills,Baltimore Ravens,Mark Andrews,Baltimore Ravens,0,0,0,0,0,0,0,0,0
