Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Cincinnati Bengals,Carolina Panthers,Joe Burrow,Cincinnati Bengals,232,2,1,0,0,0,10,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Chase Brown,Cincinnati Bengals,0,0,0,2,12,0,80,2,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Zack Moss,Cincinnati Bengals,0,0,0,4,27,1,51,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Ja'Marr Chase,Cincinnati Bengals,0,0,0,3,85,1,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Tee Higgins,Cincinnati Bengals,0,0,0,6,60,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Andrei Iosivas,Cincinnati Bengals,0,0,0,1,29,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Erick All,Cincinnati Bengals,0,0,0,4,28,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Drew Sample,Cincinnati Bengals,0,0,0,1,0,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Mike Gesicki,Cincinnati Bengals,0,0,0,1,-9,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Andy Dalton,Carolina Panthers,220,2,1,0,0,0,9,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Johnny Hekker,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Chuba Hubbard,Carolina Panthers,0,0,0,4,17,0,104,1,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Miles Sanders,Carolina Panthers,0,0,0,3,14,0,32,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Xavier Legette,Carolina Panthers,0,0,0,6,66,1,10,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Diontae Johnson,Carolina Panthers,0,0,0,7,83,1,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Jonathan Mingo,Carolina Panthers,0,0,0,3,24,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Ja'Tavion Sanders,Carolina Panthers,0,0,0,2,16,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Feleipe Franks,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,Jalen Coker,Carolina Panthers,0,0,0,0,0,0,0,0,0
